# gene_name         0h    12h    24h    48h    96h 
wasabi            31.0   45.8   61.2   81.3   87.6 
watercress        30.9   11.6    4.2    0.4    0.0 
watermelon         6.0    6.6    7.2    6.2    3.6 
yam               36.8   21.9   12.0    2.4    0.1 
zucchini         106.5  100.9   98.4   64.8   15.9 
OR4F5              5.2    5.0    4.1    2.5    0.6 
FO538757.2        70.8   36.1   20.4    4.5    0.1 
FO538757.1        99.0  104.7  105.3   93.5   35.5 
OR4F29            25.1   22.6   18.0    8.6    1.4 
OR4F16            13.5   13.6   10.4    6.2    1.3 
SAMD11            16.9   13.1    9.4    3.9    0.4 
NOC2L             29.1   28.8   22.4   12.0    2.0 
KLHL17            23.9   24.9   21.0   14.4    4.2 
PLEKHN1           39.6   24.2   13.2    3.1    0.1 
PERM1             17.9   21.0   22.9   22.5   12.9 
HES4              19.5   14.4    8.6    3.3    0.2 
ISG15             58.1   67.1   88.9  114.4  120.6 
AGRN             289.4  305.4  280.3  177.6   49.0 
RNF223           289.7  548.9  812.4 2178.8 6035.5 
C1orf159           1.7    1.3    0.9    0.4    0.1 
TTLL10           126.9  128.0  110.3   64.2   14.2 
TNFRSF18          22.0   27.5   35.3   32.1   21.1 
TNFRSF4           69.5   39.6   26.3    8.0    0.4 
SDF4             194.8  232.2  278.9  304.5  237.2 
B3GALT6            5.8    1.8    0.6    0.0    0.0 
FAM132A           38.4   21.4   10.6    2.1    0.1 
UBE2J2            61.9   86.8  115.7  131.0  120.4 
SCNN1D           136.8  184.7  201.3  269.4  231.6 
ACAP3             22.5    7.4    2.7    0.2    0.0 
PUSL1            145.6  132.9  107.0   58.5   11.1 
CPSF3L            46.2   12.3    2.8    0.1    0.0 
CPTP               4.7    3.5    2.3    0.8    0.1 
TAS1R3            13.8    8.2    4.0    1.0    0.0 
DVL1              62.8   50.3   33.6   12.8    1.3 
MXRA8              2.5    1.0    0.4    0.0    0.0 
AURKAIP1           7.5    2.6    0.9    0.1    0.0 
CCNL2              2.2    0.4    0.1    0.0    0.0 
MRPL20            28.6   27.1   24.9   15.4    3.7 
ANKRD65          103.2   78.8   59.8   28.1    4.1 
TMEM88B           12.1    6.3    3.2    0.5    0.0 
VWA1               8.3    1.2    0.1    0.0    0.0 
ATAD3C            32.6   21.3   11.5    2.7    0.1 
ATAD3B            10.7    5.8    3.2    0.7    0.0 
ATAD3A            34.4   39.1   40.5   36.9   15.8 
TMEM240           18.5   18.2   13.9    9.8    2.5 
SSU72              3.4    2.8    2.0    0.9    0.1 
AL645728.1         6.4    9.6   11.3   12.2    9.0 
FNDC10            53.1   62.4   72.2   79.0   61.3 
MIB2              37.6   22.1   11.7    2.5    0.1 
MMP23B            80.8  108.2  114.4  122.6   67.3 
CDK11B             7.1    4.9    2.7    0.9    0.0 
SLC35E2B          55.5   19.0    5.3    0.4    0.0 
CDK11A            15.8   14.7    9.8    4.2    0.3 
SLC35E2           74.3  102.1  108.3  106.1   65.6 
NADK              27.6   17.7    9.5    2.9    0.2 
GNB1              80.4  119.1  162.7  217.2  228.2 
CALML6            27.6   21.4   15.9    5.6    0.5 
TMEM52            30.8   21.6   13.6    3.6    0.2 
CFAP74            21.2   14.0    7.9    2.0    0.1 
GABRD             26.0   19.9   13.6    5.6    0.6 
PRKCZ             17.3   11.7    6.3    1.5    0.1 
FAAP20           160.0  135.3   86.6   38.6    3.3 
SKI               91.4   69.8   50.0   20.2    2.0 
MORN1             99.9  120.0  113.8  119.9   67.4 
RER1              65.2   44.9   30.5   10.1    0.6 
PEX10             43.7   59.5   88.6  126.1  210.5 
PLCH2             43.9   25.6   13.8    3.7    0.2 
PANK4             19.2   23.2   28.7   27.4   16.3 
HES5              34.8   35.8   24.9   14.0    2.5 
TNFRSF14          49.5   26.1   10.8    1.9    0.0 
FAM213B           12.9   10.5    6.6    2.6    0.2 
MMEL1             51.8   11.7    1.9    0.1    0.0 
TTC34              7.9    1.3    0.3    0.0    0.0 
ACTRT2            10.2   10.2    8.3    5.4    1.3 
PRDM16            61.7   62.5   47.1   29.8    4.6 
ARHGEF16          30.5   30.3   31.1   22.2    7.0 
MEGF6             37.2   21.3   10.6    2.2    0.0 
TPRG1L            12.5   17.4   17.1   24.6   23.1 
WRAP73            65.1   44.4   32.1    9.8    1.0 
TP73             101.5  135.9  151.1  117.9   61.5 
CCDC27            87.4   41.0   16.9    2.1    0.0 
SMIM1             16.1    6.3    2.2    0.2    0.0 
LRRC47            23.7   11.0    3.9    0.5    0.0 
CEP104             8.0    6.2    4.7    1.7    0.2 
DFFB              28.0   10.3    3.8    0.4    0.0 
C1orf174          87.0   82.3   83.3   53.9   16.9 
AJAP1             41.4   25.5   16.1    4.3    0.2 
NPHP4             11.7   13.6   18.9   19.4   16.8 
KCNAB2            38.8   49.5   47.8   39.5   16.9 
CHD5              43.0   49.2   48.0   40.4   20.1 
RPL22             35.6   64.5  107.4  195.8  464.5 
RNF207             7.9    6.7    5.6    3.4    0.7 
ICMT              20.3   20.9   20.6   14.4    4.3 
HES3             185.3  198.0  196.9  153.6   58.2 
GPR153           437.1  569.3  735.8  848.2  636.2 
ACOT7            203.2  313.6  469.3  633.7 1155.1 
HES2              11.5    1.2    0.1    0.0    0.0 
ESPN              10.2    6.6    3.1    0.7    0.0 
TNFRSF25          16.6   12.9    8.2    3.1    0.3 
PLEKHG5           15.3   20.6   24.7   30.4   23.9 
NOL9              62.9   68.8   64.3   58.0   19.7 
TAS1R1            36.9   48.7   55.1   52.6   34.0 
ZBTB48            75.9   36.4   16.6    2.6    0.0 
KLHL21            29.0   21.2   14.7    6.9    0.7 
PHF13             16.0   11.0    7.2    2.5    0.2 
THAP3             24.6   36.0   44.8   61.6   66.6 
DNAJC11           65.1   50.2   36.0   14.5    1.4 
CAMTA1            67.1   69.3   50.8   30.3    5.1 
VAMP3            179.9  184.3  163.9  114.7   31.8 
PER3               4.7    6.5    7.0    6.6    4.1 
UTS2              56.3   48.0   34.1   16.4    1.9 
TNFRSF9           21.4   21.5   17.5   10.5    2.0 
PARK7             11.4    8.1    5.0    1.6    0.1 
ERRFI1            22.6   15.0    8.6    2.5    0.1 
SLC45A1           21.4   20.8   14.7    7.4    1.2 
RERE              20.6   15.8   10.1    4.5    0.5 
ENO1              30.3    9.8    3.2    0.3    0.0 
CA6               14.2   11.6    8.4    3.6    0.4 
SLC2A7            51.9   19.9    6.5    0.6    0.0 
SLC2A5             3.3    3.2    2.8    1.6    0.3 
GPR157            28.9   16.6    7.8    1.6    0.0 
H6PD              53.7   55.6   45.3   29.6    7.7 
SPSB1             12.4    9.9    5.5    1.7    0.1 
SLC25A33          24.0   30.2   31.6   26.7   10.4 
TMEM201         1030.5 1716.3 2278.5 4072.2 5971.1 
PIK3CD            18.8   14.6   10.6    5.0    0.6 
CLSTN1            31.2    3.5    0.3    0.0    0.0 
AL357140.1        90.2   96.4   81.6   50.9   10.6 
CTNNBIP1          35.5   52.8   76.3  112.5  164.3 
LZIC               5.0    2.2    0.8    0.1    0.0 
NMNAT1            32.5   43.2   58.8   76.2   81.3 
RBP7              56.5   84.8  108.6  139.1  132.9 
UBE4B             14.6    8.0    3.8    0.6    0.0 
KIF1B            110.9  121.6  118.4   88.4   33.6 
PGD               23.9   17.4   12.4    6.2    0.6 
APITD1-CORT      161.2  129.2   87.9   33.0    3.2 
APITD1            92.5  148.0  210.3  335.6  589.9 
CORT              92.6   48.0   21.7    3.0    0.0 
DFFA               6.0    3.6    2.2    0.5    0.0 
PEX14             61.9   96.5  120.2  168.5  179.2 
CASZ1             14.5    8.9    4.7    1.2    0.0 
C1orf127         120.4  146.4  194.4  199.0  127.9 
TARDBP            28.9   18.6   13.4    5.8    0.5 
RP4-635E18.9      12.3   12.0   10.2    6.4    1.6 
MASP2             21.3   21.6   22.1   14.7    4.6 
SRM               16.6   24.3   29.2   28.3   19.1 
EXOSC10            8.3    9.6    9.6    9.9    5.9 
MTOR              66.7   61.6   47.5   26.2    5.2 
ANGPTL7           63.8   90.2  125.6  187.5  264.8 
UBIAD1            11.6    3.9    1.1    0.1    0.0 
DISP3              9.1    6.3    3.3    0.8    0.0 
FBXO2             54.0   68.5   67.5   50.2   19.4 
FBXO44            31.0   33.5   28.4   15.8    3.2 
FBXO6             63.5   38.0   23.4    6.0    0.3 
MAD2L2             6.6    4.6    2.7    0.9    0.1 
DRAXIN             6.0    3.6    2.4    0.8    0.0 
AGTRAP            65.7   14.6    3.4    0.1    0.0 
C1orf167           4.4    1.6    0.5    0.0    0.0 
MTHFR              9.5    5.2    2.7    0.6    0.0 
CLCN6              2.3    1.9    1.2    0.4    0.0 
NPPA              10.3   10.1    8.0    4.5    0.8 
NPPB              14.9   10.5    7.6    3.1    0.2 
KIAA2013          90.7   73.0   48.9   18.8    1.7 
PLOD1             26.1   10.8    3.5    0.3    0.0 
MFN2             240.7  427.8  675.8 1107.0 2553.2 
MIIP               5.5    2.7    1.2    0.1    0.0 
TNFRSF8           16.9   13.1   11.4    5.8    0.8 
TNFRSF1B         213.5  236.5  233.1  222.5   95.4 
VPS13D            24.8    8.6    2.2    0.1    0.0 
DHRS3             14.2   10.4    6.6    2.3    0.1 
AADACL4          439.8  413.4  344.1  216.9   38.6 
AADACL3           54.7   74.6   96.3   99.9   88.5 
C1orf158          30.6   23.3   16.1    7.0    0.6 
PRAMEF12         151.5   66.8   22.8    2.5    0.0 
PRAMEF1          124.5  114.0  118.0   77.8   21.6 
PRAMEF11          91.9   69.9   63.5   34.5    6.7 
HNRNPCL1          35.4   46.2   67.0   82.7  105.7 
PRAMEF2           92.0   68.0   47.0   15.6    1.2 
PRAMEF4            1.5    1.4    1.2    0.6    0.1 
PRAMEF10          74.9   77.2   62.8   44.7   11.5 
PRAMEF7           32.0   40.0   48.7   52.1   40.1 
PRAMEF6           13.7    5.4    1.9    0.2    0.0 
PRAMEF27          48.9   38.1   27.0    9.6    0.8 
PRAMEF25          15.9   16.6   13.8    7.1    1.4 
HNRNPCL3           4.5    2.5    1.5    0.3    0.0 
HNRNPCL2          20.6   12.2    6.7    1.5    0.1 
PRAMEF26          84.9   72.5   46.7   20.1    2.0 
HNRNPCL4           8.8    7.4    4.9    1.9    0.2 
PRAMEF9           10.5    3.9    1.1    0.1    0.0 
PRAMEF18          25.1   10.7    3.4    0.3    0.0 
PRAMEF5           45.5   25.5   15.6    3.8    0.2 
PRAMEF8            7.1    7.3    6.2    3.8    0.9 
PRAMEF15           7.2    4.3    2.6    0.7    0.0 
PRAMEF14          11.6    7.3    4.4    1.2    0.1 
PRAMEF19          22.7   25.1   22.1   16.3    5.2 
PRAMEF17          35.0   34.2   30.1   18.9    4.0 
PRAMEF20           8.4    2.1    0.4    0.0    0.0 
LRRC38            14.4    9.2    5.0    1.6    0.1 
PDPN              11.4    7.4    3.7    0.8    0.0 
PRDM2            176.9  202.7  202.3  139.2   49.9 
KAZN             110.2   60.0   33.9    7.3    0.2 
TMEM51           170.4  182.8  177.0  130.1   36.2 
FHAD1             62.8   43.2   24.0    6.7    0.3 
EFHD2             18.5    1.6    0.2    0.0    0.0 
CTRC              60.0   63.1   56.4   40.7   12.9 
CELA2A            30.0   26.7   21.4   11.3    1.9 
CELA2B           129.4  152.4  174.2  186.3  125.1 
CASP9             29.0   25.0   21.6   12.0    2.5 
DNAJC16           16.5    4.9    1.4    0.1    0.0 
AGMAT             19.4   14.5    8.3    3.0    0.2 
DDI2              16.2   16.3   17.8   15.2    6.4 
RSC1A1            18.3   12.3    7.7    2.5    0.2 
PLEKHM2          773.2 1345.2 1992.9 3287.7 4844.6 
SLC25A34          14.1    6.6    2.8    0.5    0.0 
TMEM82            19.4   20.5   19.3   15.2    5.3 
FBLIM1             4.7    6.6    9.3   12.7   14.4 
UQCRHL            22.7    6.9    1.8    0.1    0.0 
SPEN               4.7    3.2    2.2    0.7    0.1 
ZBTB17            16.6    5.1    1.5    0.1    0.0 
C1orf64           34.7   28.4   18.4    6.5    0.5 
HSPB7             29.7   32.0   35.5   27.8    8.9 
CLCNKA            93.9  113.6  144.2  129.5   88.8 
CLCNKB            30.1   28.1   26.5   17.2    4.3 
FAM131C          171.4  241.5  280.6  326.6  309.4 
EPHA2             60.0   74.5   90.3   93.7   64.7 
ARHGEF19           5.1    1.7    0.7    0.1    0.0 
RSG1              34.0   21.7   12.5    3.0    0.1 
FBXO42            32.2   16.5    7.2    1.1    0.0 
SZRD1             40.4   46.0   53.5   45.0   31.8 
SPATA21            9.7    5.7    3.5    1.0    0.0 
NECAP2            23.1   16.5   10.2    3.4    0.3 
FAM231B          112.4  118.6   99.6   60.6   14.8 
NBPF1             90.4  100.1  114.6  101.6   56.7 
FAM231A            7.3    7.2    5.5    3.1    0.6 
FAM231C           27.6   38.1   41.6   46.9   33.5 
CROCC             17.7   18.3   16.7   11.3    3.3 
MFAP2             18.7   15.5   12.7    7.2    1.1 
ATP13A2           18.1   10.9    5.4    1.2    0.0 
SDHB              91.3  103.8  119.8  118.6   74.2 
PADI2             87.5  112.8  127.6  122.2   59.9 
PADI1             31.4   16.3   10.2    2.3    0.1 
PADI3              8.6    6.3    4.0    1.2    0.1 
PADI4             71.7   63.8   50.5   22.9    3.1 
AC004824.1        43.9   20.4    8.2    0.9    0.0 
PADI6             12.1   19.7   21.9   25.0   25.8 
RCC2               5.0    3.2    1.5    0.3    0.0 
ARHGEF10L          4.8    2.2    1.0    0.1    0.0 
ACTL8             11.0    6.6    3.2    0.7    0.0 
IGSF21            22.2   27.6   25.1   24.7   15.3 
KLHDC7A           12.2   13.1   16.9   17.4   13.1 
PAX7              59.7   63.5   73.6   60.1   29.3 
TAS1R2            18.1   17.1   12.2    8.5    2.0 
RP13-279N23.2     14.7   15.4   11.8    5.3    0.8 
ALDH4A1           35.6   22.6   15.0    4.4    0.2 
IFFO2             23.9    7.1    2.0    0.1    0.0 
UBR4              14.4   15.1   12.3   10.3    2.8 
EMC1              11.2    6.9    4.2    1.0    0.0 
MRTO4             46.8   52.2   54.0   52.1   31.1 
AKR7A3            83.5  114.2  149.7  183.2  219.8 
AKR7A2           163.0  161.1  127.6   67.1   10.7 
PQLC2             90.8   45.5   22.5    3.4    0.1 
CAPZB             87.6  126.4  126.2  116.9   57.6 
MINOS1            17.5   17.6   13.5    7.8    1.4 
MINOS1-NBL1       17.3   19.6   17.4   14.0    5.4 
NBL1              39.9   31.0   20.7    6.6    0.5 
HTR6              20.9   16.6   13.0    8.0    1.3 
TMCO4             29.0   31.7   29.2   20.7    6.4 
RNF186            42.2   50.0   41.0   28.3    8.5 
OTUD3             81.0   84.1   82.2   51.0   16.4 
PLA2G2E           38.1   20.1    8.3    1.5    0.0 
PLA2G2A           20.8    9.5    3.8    0.6    0.0 
PLA2G5            24.4   24.5   21.8   13.7    3.3 
PLA2G2D           28.7   14.6    8.6    1.8    0.0 
PLA2G2F           55.3   46.4   30.9   16.0    1.9 
PLA2G2C           28.6   50.5   59.4  107.9  123.0 
UBXN10            61.7   81.4   97.3  113.5   84.1 
VWA5B1            93.4   42.1   18.8    2.6    0.0 
CAMK2N1           91.5  107.7  137.3  158.6  155.3 
MUL1               2.6    1.3    0.5    0.1    0.0 
FAM43B            13.1   10.6    9.4    4.3    0.5 
CDA              138.3  102.9   60.6   18.7    0.9 
PINK1             20.7   12.0    6.4    1.5    0.0 
DDOST             13.4    8.3    4.5    1.0    0.0 
KIF17             16.6   10.0    6.7    2.5    0.2 
SH2D5              2.8    0.7    0.1    0.0    0.0 
HP1BP3            26.8   21.2   14.9    5.8    0.5 
EIF4G3             5.8    2.4    0.7    0.1    0.0 
ECE1               7.7    1.4    0.2    0.0    0.0 
NBPF3             34.7   27.6   26.5   15.0    2.6 
ALPL             269.4  244.3  209.5  134.4   33.7 
RAP1GAP           22.3   23.2   22.0   16.0    4.9 
USP48             24.5   20.2   15.1    5.2    0.5 
LDLRAD2           97.9   52.0   31.4    6.9    0.2 
HSPG2              6.3    3.5    1.7    0.3    0.0 
CELA3B             4.0    0.7    0.1    0.0    0.0 
CELA3A           145.4  180.6  186.7  183.5  100.1 
CDC42              8.1    9.7    9.9    7.8    2.7 
WNT4              13.9    8.6    5.7    1.9    0.1 
ZBTB40            56.7   56.1   63.8   59.5   31.6 
EPHA8             41.6   40.8   33.4   22.2    5.0 
C1QA              24.0   27.5   30.3   26.7   17.2 
C1QC               6.6    7.4    6.4    4.8    1.8 
C1QB              11.7   13.0   11.5    8.5    2.6 
EPHB2             97.8  102.1  123.1  103.0   53.8 
LACTBL1           58.5   71.6   83.1   72.3   43.3 
C1orf234          60.6   82.0   92.1  124.3  115.4 
KDM1A             56.5   53.5   56.6   43.1   15.3 
LUZP1             52.5   39.5   22.7    8.9    0.6 
HTR1D             68.0  106.4  126.3  173.2  232.3 
HNRNPR            36.6   26.1   20.2    7.2    0.6 
ZNF436            14.0   17.3   21.3   28.9   25.1 
TCEA3             52.8   63.1   74.4   80.5   63.9 
ASAP3             24.2   26.5   23.5   19.8    6.5 
E2F2              16.0    6.2    2.6    0.3    0.0 
ID3               19.3   28.1   34.1   48.1   50.1 
MDS2              19.8   20.0   20.3   13.8    3.6 
RPL11             92.2   61.4   41.5   14.4    1.0 
TCEB3             92.9  127.8  162.5  208.9  216.0 
PITHD1            12.3   19.1   24.2   35.5   50.0 
LYPLA2            35.3   16.8    6.3    0.9    0.0 
GALE             157.0  214.9  317.8  424.2  623.9 
HMGCL             23.8   12.6    6.0    1.4    0.0 
FUCA1             12.1    9.4    6.0    1.8    0.1 
CNR2              82.0   82.2   97.4   85.2   43.6 
PNRC2             29.0   23.5   16.5    6.3    0.7 
SRSF10            96.1   57.6   30.3    7.3    0.3 
MYOM3              2.9    2.2    1.6    0.6    0.1 
IL22RA1            4.9    1.4    0.4    0.0    0.0 
IFNLR1           100.2   55.9   26.9    4.6    0.1 
GRHL3             70.9   77.5   90.5   85.0   45.8 
STPG1             13.9   11.6    8.1    4.0    0.5 
NIPAL3            22.4   26.9   28.5   27.1   13.4 
RCAN3              8.7    8.3    7.3    4.3    0.9 
NCMAP             29.7   46.4   57.0   98.4  155.7 
SRRM1             43.6   56.7   60.3   66.6   39.1 
CLIC4             14.8   10.8    7.2    2.6    0.3 
RUNX3              7.9    1.8    0.5    0.0    0.0 
SYF2              47.9   10.6    2.3    0.1    0.0 
RSRP1             46.8   31.6   22.8    8.7    0.8 
RHD               39.5   50.1   54.5   48.7   24.2 
TMEM50A           73.7   47.6   22.9    5.1    0.1 
RHCE              12.1    6.3    3.5    0.7    0.0 
TMEM57            13.5    9.3    4.9    1.0    0.0 
LDLRAP1           46.5   43.6   31.4   16.1    2.6 
MAN1C1            89.5   90.6   85.6   53.7   18.9 
SEPN1              6.5    4.1    2.4    0.5    0.0 
RP1-317E23.6       7.9    6.9    4.3    1.8    0.2 
MTFR1L            74.7   48.6   29.8    9.3    0.5 
AUNIP             20.8   12.1    6.4    1.7    0.1 
PAQR7              9.4    3.7    1.1    0.1    0.0 
STMN1             45.4   43.2   33.6   22.5    5.0 
PAFAH2             9.4   11.3   14.3   15.4    9.9 
EXTL1             17.6   15.2   13.0    5.0    0.7 
SLC30A2           50.0   45.4   40.1   22.3    4.1 
TRIM63             3.7    2.8    1.8    0.6    0.0 
PDIK1L             8.2    6.9    5.7    2.7    0.5 
FAM110D           48.5   47.5   40.2   25.9    6.1 
RP11-96L14.8      21.1   13.2    7.7    2.1    0.1 
RP11-96L14.7       9.9    4.2    1.6    0.2    0.0 
ZNF593            35.1   49.8   56.4   71.5   50.0 
CNKSR1            13.7   16.0   15.7    9.3    3.0 
CATSPER4          17.9   16.9   13.3    7.2    1.0 
CEP85             43.3   56.9   64.9   69.6   48.5 
SH3BGRL3           8.8    5.1    2.4    0.5    0.0 
UBXN11            10.4    9.4    6.9    3.4    0.5 
CD52              17.3    7.6    3.2    0.4    0.0 
AIM1L              1.7    0.6    0.2    0.0    0.0 
ZNF683            82.0   79.0   61.8   30.6    4.4 
LIN28A            11.2   13.8   16.6   17.3   10.6 
DHDDS             10.4    4.4    1.9    0.3    0.0 
HMGN2             17.7   12.6   10.6    4.9    0.7 
RPS6KA1           26.3   26.4   25.0   16.4    4.9 
ARID1A             5.9    2.3    0.7    0.1    0.0 
PIGV              65.2   28.6   10.2    1.2    0.0 
ZDHHC18           13.1   11.3    8.1    3.5    0.5 
SFN              217.5  273.5  255.1  195.0   75.5 
GPN2              56.8   86.3  117.1  206.6  262.6 
GPATCH3           20.8   16.6   11.9    4.9    0.5 
NUDC               9.7    6.6    3.5    0.9    0.0 
NR0B2              4.6    1.4    0.4    0.0    0.0 
KDF1               6.0    4.0    2.5    0.7    0.0 
TRNP1             16.8    8.1    3.8    0.6    0.0 
FAM46B            17.7   22.9   31.9   39.0   38.5 
AL137860.1         3.1    0.7    0.2    0.0    0.0 
SLC9A1            28.5   29.7   31.7   27.3   12.0 
WDTC1             28.2    6.8    1.8    0.1    0.0 
TMEM222           16.0    6.8    2.8    0.4    0.0 
SYTL1             68.5   76.4   63.6   38.5    7.4 
MAP3K6            74.2   77.8   59.8   40.6    9.4 
FCN3              69.9   93.6  113.7  113.0   81.0 
CD164L2           15.6   16.3   12.6    8.8    1.7 
GPR3              13.7    2.8    0.5    0.0    0.0 
WASF2             58.0   61.9   62.6   48.5   15.9 
AHDC1             87.3   65.7   55.2   21.5    2.2 
FGR               44.3   39.4   28.4   13.9    2.0 
IFI6              17.1    9.2    4.5    1.1    0.0 
FAM76A            21.5   15.5   11.3    3.7    0.3 
STX12              8.0    3.4    1.2    0.1    0.0 
PPP1R8             9.2   12.6   13.1   11.6    7.6 
AL109927.1         9.5    7.7    6.2    2.5    0.3 
THEMIS2           22.0   18.5   13.2    6.4    0.8 
RPA2              21.9   28.7   33.4   39.9   31.8 
SMPDL3B           40.8   33.0   27.1   14.9    2.4 
XKR8              75.4   94.5  109.8   97.4   57.0 
EYA3              15.4   16.4   20.6   20.5   10.5 
PTAFR             56.7   70.0   74.0   71.8   36.3 
DNAJC8            82.4   73.3   46.9   18.9    1.6 
ATPIF1            28.7   33.4   30.5   22.9    7.4 
SESN2             12.2   12.5   11.0    6.5    1.7 
MED18             12.6   15.6   15.6   11.4    4.3 
PHACTR4            8.5    4.6    2.1    0.4    0.0 
RCC1              19.1   24.1   25.0   21.4   11.9 
TRNAU1AP          36.3   29.2   24.9   10.3    1.2 
TAF12             19.5   13.7    7.4    1.9    0.1 
RAB42             80.2   72.5   54.9   24.0    3.5 
GMEB1              7.9    1.9    0.5    0.0    0.0 
YTHDF2             4.6    2.6    1.6    0.4    0.0 
OPRD1             24.9    9.0    3.9    0.4    0.0 
EPB41             43.0   44.0   34.8   25.6    7.0 
TMEM200B           9.5    2.3    0.5    0.0    0.0 
SRSF4             44.8   24.0   11.0    1.8    0.0 
MECR              19.6   28.6   36.6   47.9   52.6 
PTPRU             44.7   47.8   33.3   16.9    2.7 
MATN1             21.6   20.6   15.8    8.9    1.5 
