#gene_name           tpm[12h/0h]  tpm[24h/0h]  tpm[48h/0h]  tpm[96h/0h]  synth_rate   halflife
ABCA6                0.6          0.4          0.1          0.0          1.9          9.2
ABCA7                0.3          0.1          0.0          0.0          0.4          5.8
ABCA8                1.3          1.3          1.1          0.5          1.4          17.5
ABCA9                0.8          0.5          0.2          0.0          2.4          10.7
ABCB1                1.0          0.9          0.7          0.2          0.6          15.6
ABCB10               0.4          0.2          0.0          0.0          7.8          6.9
ABCB11               1.3          1.6          1.8          1.4          2.0          21.5
ABCB4                0.4          0.1          0.0          0.0          4.4          6.7
ABCB5                1.7          2.5          3.6          5.4          2.0          29.5
ABCB6                1.0          0.9          0.6          0.2          1.0          14.5
ABCB7                1.1          1.1          1.0          0.3          4.2          16.3
ABCB8                0.7          0.4          0.1          0.0          5.8          10.1
ABCB9                1.5          1.7          2.2          2.2          25.1         24.1
ABCC1                1.4          1.4          1.2          0.7          1.2          18.2
ABCC10               0.6          0.3          0.1          0.0          1.5          8.4
ABCC11               1.1          1.0          0.8          0.3          1.4          16.0
ABCC12               1.0          0.8          0.5          0.1          4.1          13.5
ABCC2                1.3          1.3          1.2          0.7          2.6          18.7
ABCC3                0.8          0.5          0.2          0.0          3.1          10.6
ABCC4                1.2          1.5          1.7          1.5          4.7          22.3
ABCC5                0.7          0.5          0.2          0.0          4.2          11.2
ABCC6                0.8          0.6          0.2          0.0          3.9          11.7
ABCC8                0.9          0.9          0.6          0.2          2.7          14.7
ABCC9                0.9          0.7          0.3          0.1          1.5          12.4
ABCD1                0.5          0.2          0.0          0.0          0.9          8.1
ABCD2                1.0          0.9          0.5          0.1          7.7          14.5
ABCD3                0.8          0.5          0.2          0.0          3.1          10.7
ABCD4                1.3          1.9          2.6          3.5          5.6          27.6
ABCE1                0.8          0.4          0.1          0.0          2.1          9.2
ABCF1                0.6          0.5          0.1          0.0          1.2          10.4
ABCF2                1.4          1.7          2.1          1.8          0.5          23.2
ABCF3                0.8          0.5          0.2          0.0          21.2         10.8
ABCG1                0.7          0.5          0.2          0.0          18.2         10.2
ABCG2                0.4          0.2          0.0          0.0          8.2          7.5
ABCG4                1.0          1.1          0.9          0.3          3.2          16.3
ABCG5                1.3          1.5          1.8          1.7          1.7          22.5
ABCG8                1.3          1.7          1.8          1.4          0.9          22.1
ABHD1                1.3          1.4          1.4          1.0          1.8          19.9
ABHD10               1.5          2.0          2.4          2.2          2.3          23.8
ABHD11               0.8          0.6          0.3          0.0          8.5          11.6
ABHD12               0.3          0.1          0.0          0.0          1.9          6.4
ABHD12B              0.4          0.1          0.0          0.0          3.4          6.4
ABHD13               0.8          0.7          0.4          0.1          5.1          12.6
ABHD14A              1.1          0.9          0.8          0.3          1.4          15.9
ABHD14A-ACY1         0.7          0.4          0.1          0.0          0.5          9.5
ABHD14B              1.4          1.6          2.0          1.6          1.4          22.5
ABHD15               0.5          0.2          0.0          0.0          1.5          7.5
ABHD16A              0.6          0.3          0.0          0.0          0.9          8.1
ABHD16B              1.0          0.8          0.4          0.1          1.0          13.2
ABHD17A              0.6          0.3          0.1          0.0          1.9          8.4
ABHD17B              0.6          0.5          0.2          0.0          1.6          10.8
ABHD17C              0.8          0.6          0.3          0.0          3.8          11.6
ABHD18               1.1          1.2          1.1          0.5          6.2          17.9
ABHD2                0.2          0.1          0.0          0.0          1.7          5.5
ABHD3                0.3          0.1          0.0          0.0          4.4          5.9
ABHD4                0.7          0.4          0.1          0.0          1.8          9.8
ABHD5                1.4          1.4          1.5          0.8          5.2          18.9
ABHD6                0.9          0.6          0.3          0.0          1.4          11.7
ABHD8                0.7          0.5          0.2          0.0          1.0          10.5
ABI1                 1.4          1.6          1.7          1.4          0.8          22.1
ABI2                 0.5          0.2          0.0          0.0          1.6          7.7
ABI3                 1.0          1.0          0.7          0.3          3.8          16.1
ABI3BP               0.4          0.2          0.0          0.0          1.5          7.2
ABL1                 1.5          1.9          2.2          2.3          1.0          24.0
ABL2                 0.8          0.6          0.3          0.0          1.9          12.0
ABLIM1               0.5          0.3          0.1          0.0          0.6          8.7
ABLIM2               0.6          0.3          0.1          0.0          7.2          8.5
ABLIM3               1.0          1.1          0.7          0.3          5.4          15.9
ABO                  1.0          1.2          1.0          0.5          3.5          18.1
ABR                  0.6          0.4          0.1          0.0          3.6          10.1
ABRA                 0.9          0.7          0.3          0.0          4.1          12.1
ABRACL               0.6          0.4          0.1          0.0          1.2          8.9
ABT1                 0.8          0.5          0.2          0.0          6.2          11.5
ABTB1                1.0          0.9          0.7          0.2          11.8         15.0
ABTB2                1.3          1.0          1.0          0.4          3.1          16.2
AC002310.11          1.1          1.0          0.6          0.2          4.7          14.5
AC002310.13          0.4          0.1          0.0          0.0          16.1         6.8
AC002398.9           0.9          0.7          0.3          0.0          2.8          12.4
AC002429.5           1.1          1.0          0.7          0.2          1.7          15.4
AC002985.3           0.2          0.1          0.0          0.0          2.9          5.4
AC003002.4           1.0          0.9          0.6          0.1          1.5          14.3
AC003002.6           0.7          0.4          0.1          0.0          0.6          9.6
AC003005.4           0.5          0.2          0.0          0.0          3.1          7.4
AC003006.7           1.2          1.0          0.7          0.2          0.7          14.9
AC004076.7           0.3          0.1          0.0          0.0          2.9          5.5
AC004076.9           0.4          0.2          0.0          0.0          1.2          7.0
AC004158.1           0.7          0.5          0.1          0.0          1.9          10.2
AC004381.6           0.9          0.7          0.4          0.1          1.3          12.5
AC004556.1           1.2          1.0          0.9          0.3          2.5          16.5
AC004754.3           0.9          0.7          0.3          0.0          0.7          11.9
AC004813.1           0.5          0.2          0.0          0.0          3.5          8.2
AC004824.1           0.5          0.2          0.0          0.0          6.2          7.2
AC004953.1           1.1          0.8          0.6          0.1          6.7          14.2
AC005042.1           0.5          0.2          0.0          0.0          4.5          8.0
AC005281.1           0.7          0.4          0.1          0.0          1.3          10.3
AC005477.1           1.0          0.9          0.7          0.2          1.6          14.9
AC005480.1           0.3          0.1          0.0          0.0          1.4          5.4
AC005779.2           0.4          0.1          0.0          0.0          4.4          6.7
AC005943.2           0.6          0.3          0.1          0.0          3.0          9.3
AC006026.1           0.6          0.3          0.1          0.0          4.7          9.6
AC006116.20          0.7          0.4          0.1          0.0          0.3          9.5
AC006328.1           0.7          0.5          0.2          0.0          4.6          11.0
AC006386.1           1.5          2.1          3.4          5.1          1.4          30.5
AC006445.1           0.8          0.6          0.2          0.0          0.2          11.5
AC006449.2           0.8          0.5          0.2          0.0          1.3          10.8
AC006486.9           0.2          0.1          0.0          0.0          1.2          5.3
AC006538.4           0.5          0.2          0.0          0.0          14.0         8.0
AC006994.3           0.6          0.3          0.1          0.0          0.4          8.3
AC007040.11          1.0          1.0          0.8          0.3          0.7          16.2
AC007163.1           0.2          0.0          0.0          0.0          2.3          4.6
AC007192.4           0.9          0.8          0.5          0.1          4.9          13.8
AC007325.1           0.7          0.4          0.1          0.0          1.4          9.6
AC007325.2           0.7          0.4          0.2          0.0          1.5          10.5
AC007325.4           1.2          1.4          1.6          1.2          0.6          21.0
AC007326.1           1.2          1.2          1.2          0.6          0.7          17.8
AC007557.5           1.2          1.2          1.0          0.4          4.6          17.1
AC007906.1           1.2          1.2          1.0          0.5          1.3          17.2
AC008074.1           0.4          0.2          0.0          0.0          5.8          7.5
AC008522.1           0.1          0.0          0.0          0.0          2.5          3.6
AC008622.1           1.1          1.1          0.8          0.3          1.5          15.7
AC008641.1           0.9          0.9          0.7          0.2          3.3          14.6
AC008686.1           0.6          0.3          0.1          0.0          1.3          8.6
AC008759.1           1.2          1.2          1.1          0.5          1.5          18.0
AC008810.1           0.4          0.1          0.0          0.0          2.7          6.8
AC008914.1           1.0          0.8          0.5          0.1          2.5          14.1
AC009014.3           0.5          0.2          0.0          0.0          4.3          7.6
AC009022.1           0.9          0.8          0.5          0.1          17.3         14.1
AC009060.1           0.6          0.3          0.1          0.0          4.7          9.1
AC009060.2           1.4          1.8          2.2          2.8          9.5          25.4
AC009065.1           0.9          0.7          0.4          0.1          1.1          12.7
AC009121.1           0.6          0.3          0.1          0.0          3.6          9.0
AC009133.22          0.5          0.2          0.0          0.0          43.3         7.7
AC009133.23          0.8          0.6          0.3          0.0          4.7          11.6
AC009336.19          1.6          2.2          3.4          5.8          2.3          31.5
AC009491.1           0.6          0.4          0.2          0.0          4.8          10.7
AC009491.2           0.8          0.5          0.2          0.0          7.7          10.0
AC009950.1           0.3          0.1          0.0          0.0          2.0          6.5
AC009977.1           0.9          0.7          0.3          0.1          1.4          12.3
AC010184.1           1.5          2.0          2.6          3.6          1.2          27.4
AC010287.1           0.5          0.2          0.0          0.0          1.1          7.7
AC010412.1           1.0          0.8          0.4          0.1          8.6          12.9
AC010547.9           1.0          0.9          0.6          0.1          17.3         14.0
AC010642.1           1.3          1.3          1.2          0.7          6.3          18.7
AC010646.3           1.1          1.1          1.0          0.5          5.5          17.4
AC010655.1           1.1          1.0          0.7          0.2          9.3          15.4
AC010731.4           0.5          0.2          0.0          0.0          1.1          7.8
AC011043.1           1.0          0.9          0.4          0.1          18.4         13.7
AC011043.2           0.2          0.0          0.0          0.0          16.6         5.1
AC011155.1           0.5          0.2          0.0          0.0          9.4          7.1
AC011380.1           1.5          1.7          2.2          1.7          2.3          22.4
AC011513.3           0.5          0.2          0.0          0.0          0.9          7.8
AC011530.4           0.4          0.1          0.0          0.0          2.2          6.6
AC011841.1           0.3          0.1          0.0          0.0          1.8          5.7
AC012005.1           1.1          0.9          0.5          0.1          8.2          13.8
AC012005.2           1.5          1.8          2.1          2.1          2.6          23.3
AC012363.1           0.5          0.2          0.0          0.0          1.0          8.2
AC013264.1           1.2          1.3          1.6          0.9          2.1          19.6
AC013269.5           1.3          1.5          1.8          1.4          5.3          21.8
AC013286.1           0.7          0.3          0.1          0.0          2.2          9.3
AC013461.1           0.8          0.6          0.2          0.0          1.5          11.0
AC015688.3           0.5          0.2          0.0          0.0          1.9          7.8
AC016142.1           0.5          0.2          0.0          0.0          0.4          8.1
AC016549.1           1.4          1.5          1.4          1.0          6.1          19.5
AC016577.1           0.4          0.1          0.0          0.0          0.2          6.7
AC016734.1           0.3          0.1          0.0          0.0          0.8          5.9
AC016753.1           0.7          0.6          0.3          0.0          3.5          12.1
AC016991.1           1.0          0.9          0.5          0.1          3.0          13.4
AC017028.1           0.5          0.3          0.1          0.0          1.8          8.9
AC017081.1           0.3          0.0          0.0          0.0          0.5          5.4
AC018512.1           0.6          0.4          0.1          0.0          3.3          9.6
AC018638.1           0.7          0.4          0.1          0.0          2.0          9.4
AC018755.18          0.6          0.3          0.1          0.0          1.5          9.1
AC018867.1           1.0          0.8          0.4          0.1          5.9          13.4
AC018902.1           1.1          1.3          1.1          0.5          1.4          17.5
AC019206.1           0.9          0.7          0.4          0.1          2.2          13.4
AC021106.1           0.7          0.6          0.2          0.0          0.3          11.4
AC022210.1           1.2          1.2          1.0          0.5          8.4          17.1
AC022405.1           0.7          0.4          0.1          0.0          0.3          9.3
AC022819.1           0.2          0.0          0.0          0.0          0.8          5.1
AC023283.1           0.6          0.3          0.1          0.0          1.4          8.4
AC023491.2           0.9          0.8          0.4          0.1          1.0          13.4
AC023908.1           0.3          0.1          0.0          0.0          7.7          5.6
AC024060.1           0.8          0.6          0.2          0.0          1.0          10.9
AC024361.1           0.4          0.1          0.0          0.0          1.9          6.5
AC024592.12          1.1          1.5          1.4          1.0          13.0         19.7
AC025263.3           0.5          0.2          0.1          0.0          1.6          8.3
AC025335.1           0.7          0.5          0.2          0.0          1.9          10.9
AC026248.1           0.8          0.8          0.4          0.1          9.8          12.9
AC026348.1           1.3          1.4          1.9          1.5          0.2          22.1
AC026449.1           0.3          0.1          0.0          0.0          0.5          6.3
AC027682.1           0.4          0.2          0.0          0.0          1.4          7.0
AC037459.4           0.9          0.9          0.8          0.2          1.6          15.4
AC055733.1           0.8          0.6          0.3          0.0          0.9          11.5
AC055866.1           0.9          0.7          0.3          0.0          0.6          12.2
AC063956.1           0.8          0.6          0.2          0.0          2.5          11.3
AC066615.1           1.0          1.0          0.7          0.3          7.6          15.7
AC068533.7           0.8          0.7          0.3          0.0          0.9          12.1
AC069063.1           0.8          0.6          0.2          0.0          3.9          11.3
AC069063.2           1.0          1.0          0.6          0.1          4.2          14.3
AC069368.3           1.0          0.9          0.5          0.1          7.0          13.4
AC069499.1           1.0          1.2          0.8          0.3          2.4          16.3
AC073072.1           0.7          0.5          0.2          0.0          1.6          10.8
AC073130.2           0.6          0.4          0.1          0.0          6.1          9.2
AC073333.1           0.5          0.2          0.0          0.0          1.1          7.9
AC073610.5           0.9          0.9          0.5          0.1          3.0          14.5
AC073657.1           0.2          0.0          0.0          0.0          4.8          5.0
AC074033.1           0.7          0.4          0.2          0.0          9.6          10.2
AC074141.1           0.2          0.1          0.0          0.0          3.7          5.5
AC079355.1           1.2          1.4          1.3          0.9          1.0          19.8
AC079907.1           0.4          0.1          0.0          0.0          5.8          7.1
AC084219.2           0.9          0.9          0.6          0.1          0.5          14.4
AC087350.1           0.5          0.2          0.0          0.0          6.3          8.1
AC087392.1           1.3          1.5          2.0          1.6          1.2          22.0
AC087651.1           0.9          0.6          0.2          0.0          4.5          10.7
AC087651.2           0.5          0.2          0.0          0.0          1.1          7.3
AC087762.1           0.7          0.4          0.2          0.0          6.2          10.7
AC090094.1           0.4          0.2          0.0          0.0          2.6          7.6
AC090154.1           1.1          1.1          0.8          0.3          5.0          15.9
AC090498.1           0.9          0.8          0.4          0.1          0.3          12.8
AC091180.1           0.9          0.7          0.3          0.0          4.0          11.9
AC092159.1           0.2          0.0          0.0          0.0          1.0          4.8
AC092384.1           0.5          0.2          0.0          0.0          0.7          7.6
AC092718.1           1.0          0.9          0.7          0.2          5.4          14.7
AC092835.2           1.5          2.2          3.5          5.3          0.8          31.8
AC092881.1           1.2          1.2          1.5          0.8          7.0          19.4
AC096949.1           1.2          1.5          1.6          1.2          2.5          21.5
AC100821.1           1.0          0.9          0.5          0.2          2.9          14.5
AC104057.1           1.5          1.8          2.4          2.4          10.8         23.9
AC104073.1           0.6          0.2          0.0          0.0          3.9          7.6
AC104304.4           1.0          1.0          0.6          0.2          1.2          15.0
AC104389.1           0.9          0.8          0.4          0.1          0.2          13.4
AC104389.2           0.8          0.6          0.2          0.0          7.2          11.2
AC104532.2           0.5          0.2          0.0          0.0          5.9          8.2
AC104534.3           0.9          0.7          0.3          0.0          16.5         12.1
AC104581.1           1.3          1.7          2.0          1.8          1.9          23.0
AC104650.1           0.9          0.9          0.7          0.2          14.3         15.7
AC104981.1           1.4          1.5          1.6          1.2          3.2          20.5
AC105009.1           1.0          0.8          0.4          0.1          1.0          12.7
AC105052.1           1.2          1.4          1.4          0.8          3.0          19.6
AC107081.1           1.1          1.0          0.7          0.3          4.8          15.8
AC108925.1           1.1          1.3          1.1          0.7          1.9          18.5
AC108938.5           0.1          0.0          0.0          0.0          1.6          4.1
AC109344.1           0.8          0.4          0.1          0.0          0.9          9.7
AC109486.1           0.8          0.5          0.1          0.0          1.3          10.0
AC109829.1           1.3          1.5          1.7          1.5          1.2          22.3
AC109829.2           1.2          1.5          2.2          1.8          2.7          22.4
AC110602.1           1.0          0.9          0.7          0.2          4.3          15.1
AC110615.1           1.1          1.0          1.0          0.4          2.6          17.0
AC112719.1           0.7          0.4          0.1          0.0          6.3          9.8
AC113404.1           0.6          0.4          0.1          0.0          1.0          9.3
AC114783.1           1.2          1.1          0.9          0.4          0.6          17.0
AC118758.1           1.0          0.9          0.5          0.1          6.0          13.6
AC124312.1           0.8          0.6          0.2          0.0          4.8          11.1
AC126407.1           0.7          0.4          0.1          0.0          4.2          9.3
AC127070.1           0.7          0.4          0.2          0.0          0.7          10.4
AC129492.1           0.4          0.1          0.0          0.0          1.3          6.1
AC131097.4           0.7          0.5          0.2          0.0          1.8          10.8
AC131263.1           0.8          0.6          0.3          0.0          3.4          11.6
AC133551.1           0.8          0.6          0.2          0.0          0.5          11.3
AC136352.1           0.2          0.0          0.0          0.0          3.7          5.4
AC136352.2           1.4          1.5          1.6          1.1          18.1         20.4
AC136612.1           1.5          2.5          4.4          7.5          2.2          35.1
AC136616.1           0.9          0.8          0.4          0.1          12.8         12.7
AC136616.2           0.8          0.4          0.1          0.0          5.4          9.5
AC136616.3           1.1          1.0          0.8          0.3          1.1          15.7
AC138028.1           0.7          0.6          0.2          0.0          3.3          11.3
AC138517.6           0.8          0.7          0.3          0.0          1.5          12.2
AC138645.1           1.1          1.2          1.0          0.5          2.9          17.4
AC138645.2           1.2          1.2          1.1          0.6          0.4          18.0
AC138647.1           0.7          0.5          0.2          0.0          7.2          10.2
AC138969.4           0.8          0.4          0.1          0.0          3.4          10.1
AC141272.1           0.8          0.5          0.2          0.0          6.9          11.2
AC145212.1           1.4          1.9          2.3          2.3          0.9          24.1
AC145212.2           0.6          0.3          0.1          0.0          2.8          9.0
AC171558.1           0.4          0.1          0.0          0.0          2.0          7.0
AC171558.2           1.7          2.6          5.1          10.6         5.3          39.6
AC213203.1           1.0          0.9          0.5          0.1          5.7          13.9
AC231657.1           1.3          1.4          1.2          0.7          1.7          19.1
AC233755.1           0.5          0.3          0.1          0.0          1.4          8.5
AC233755.2           0.9          0.9          0.6          0.2          5.6          14.6
AC234582.1           1.1          0.9          0.6          0.1          1.4          14.4
AC234582.2           1.1          1.1          1.2          0.6          2.4          18.0
AC240274.1           0.7          0.5          0.2          0.0          0.9          10.7
AC241377.1           1.6          2.1          2.8          4.2          0.8          28.5
AC241585.1           0.4          0.1          0.0          0.0          5.1          6.9
AC242988.1           1.0          1.1          0.8          0.3          1.0          16.5
AC243756.1           0.3          0.1          0.0          0.0          2.3          6.0
AC243945.1           1.6          2.0          2.7          3.5          1.3          26.4
AC245100.1           1.0          0.8          0.4          0.1          3.6          13.5
ACAA1                1.0          0.8          0.5          0.1          1.3          14.0
ACAA2                1.4          1.5          2.0          1.9          1.1          22.9
ACACA                1.0          0.9          0.6          0.2          3.3          14.4
ACACB                0.9          0.6          0.3          0.0          2.2          11.5
ACAD10               0.5          0.2          0.0          0.0          1.4          7.6
ACAD11               1.1          1.1          0.8          0.2          3.3          14.7
ACAD8                1.3          1.7          1.9          1.4          2.3          21.7
ACAD9                0.9          0.7          0.4          0.1          0.8          12.8
ACADL                0.6          0.4          0.1          0.0          3.0          10.0
ACADM                0.5          0.2          0.0          0.0          2.5          7.7
ACADS                0.8          0.5          0.2          0.0          0.5          10.4
ACADSB               1.3          1.7          2.4          2.5          6.0          25.1
ACADVL               0.5          0.2          0.0          0.0          2.0          7.5
ACAN                 0.6          0.3          0.1          0.0          8.2          8.5
ACAP1                1.1          0.9          0.6          0.2          2.0          14.5
ACAP2                1.0          1.0          0.6          0.2          1.5          15.4
ACAP3                0.3          0.1          0.0          0.0          3.1          6.6
ACAT1                1.3          1.5          1.3          0.8          3.9          19.1
ACAT2                0.9          0.7          0.5          0.1          3.0          13.7
ACBD3                1.0          0.9          0.8          0.3          0.2          16.1
ACBD4                0.3          0.1          0.0          0.0          2.6          5.7
ACBD5                0.6          0.3          0.1          0.0          1.2          8.5
ACBD6                0.9          0.9          0.5          0.1          3.4          13.3
ACBD7                1.5          2.0          2.4          2.8          3.4          24.7
ACCS                 0.4          0.1          0.0          0.0          3.0          7.1
ACCSL                0.8          0.5          0.2          0.0          2.5          10.4
ACD                  0.6          0.3          0.1          0.0          7.6          8.8
ACE                  1.1          1.4          1.9          1.6          6.7          23.0
ACE2                 0.4          0.1          0.0          0.0          1.4          7.1
ACER1                1.2          1.1          1.0          0.4          2.2          16.8
ACER2                1.1          1.2          1.0          0.6          7.8          18.2
ACER3                1.2          1.6          1.9          1.6          1.0          22.5
ACHE                 1.3          1.2          1.1          0.6          2.8          17.7
ACIN1                0.5          0.2          0.0          0.0          1.4          7.9
ACKR1                0.4          0.2          0.0          0.0          0.8          7.5
ACKR2                1.0          0.9          0.6          0.2          6.3          14.9
ACKR3                0.7          0.4          0.1          0.0          2.4          10.1
ACKR4                1.0          0.9          0.6          0.1          1.5          14.5
ACLY                 0.5          0.2          0.0          0.0          1.1          7.8
ACMSD                1.2          1.2          1.0          0.4          1.6          16.9
ACO1                 0.8          0.4          0.1          0.0          1.6          10.0
ACO2                 0.7          0.5          0.2          0.0          9.9          10.4
ACOD1                0.3          0.1          0.0          0.0          20.7         5.8
ACOT1                0.9          0.6          0.2          0.0          1.9          11.1
ACOT11               0.7          0.4          0.1          0.0          0.8          10.0
ACOT12               1.1          1.1          0.9          0.4          0.1          16.6
ACOT13               0.5          0.2          0.0          0.0          4.1          7.3
ACOT2                0.8          0.6          0.2          0.0          13.1         11.5
ACOT4                1.2          1.4          1.3          0.6          1.1          18.0
ACOT6                0.3          0.1          0.0          0.0          2.6          5.2
ACOT7                1.5          2.3          3.1          5.7          6.1          31.3
ACOT8                0.4          0.1          0.0          0.0          15.5         6.2
ACOT9                1.5          2.0          2.5          3.1          3.3          27.5
ACOX1                0.6          0.3          0.1          0.0          3.7          9.0
ACOX2                1.3          1.4          1.5          0.8          65.8         19.1
ACOX3                0.6          0.3          0.0          0.0          12.5         8.2
ACOXL                0.3          0.1          0.0          0.0          1.5          5.6
ACP1                 1.0          0.8          0.5          0.1          1.6          13.2
ACP2                 0.6          0.4          0.1          0.0          2.6          9.8
ACP5                 0.3          0.1          0.0          0.0          1.0          5.5
ACP6                 1.2          1.4          1.4          0.9          1.4          19.7
ACP7                 0.9          0.9          0.4          0.1          1.0          13.7
ACPP                 1.1          1.4          1.3          0.6          2.0          18.5
ACPT                 0.4          0.1          0.0          0.0          2.5          6.7
ACR                  1.0          1.0          0.7          0.3          7.0          15.8
ACRBP                0.3          0.1          0.0          0.0          3.8          6.4
ACRC                 0.3          0.1          0.0          0.0          0.5          6.3
ACRV1                0.4          0.1          0.0          0.0          1.0          6.8
ACSBG1               1.1          1.1          1.0          0.4          2.9          16.9
ACSBG2               0.9          0.8          0.4          0.1          1.8          12.8
ACSF2                0.2          0.0          0.0          0.0          4.1          4.6
ACSF3                0.7          0.4          0.1          0.0          5.1          10.1
ACSL1                0.4          0.2          0.0          0.0          8.7          7.4
ACSL3                1.4          1.4          1.4          0.7          5.7          18.2
ACSL4                0.9          0.8          0.4          0.1          7.5          13.6
ACSL5                0.4          0.2          0.0          0.0          2.2          7.1
ACSL6                1.1          1.0          0.8          0.2          1.4          15.4
ACSM1                1.1          1.2          1.1          0.6          0.9          18.0
ACSM2A               1.1          1.0          0.7          0.2          0.7          15.4
ACSM2B               0.9          0.8          0.4          0.1          5.1          12.6
ACSM3                0.6          0.3          0.1          0.0          0.4          8.4
ACSM4                1.1          1.0          0.8          0.3          1.2          16.5
ACSM5                0.7          0.5          0.2          0.0          1.9          10.6
ACSM6                0.9          0.7          0.3          0.0          6.4          11.9
ACSS1                1.1          1.1          0.9          0.3          0.9          16.9
ACSS2                0.7          0.4          0.1          0.0          3.8          9.8
ACSS3                0.6          0.3          0.1          0.0          0.4          8.3
ACTA1                0.6          0.4          0.1          0.0          1.7          9.4
ACTA2                0.7          0.5          0.1          0.0          1.3          10.3
ACTB                 1.3          1.4          1.4          1.1          2.9          20.7
ACTBL2               1.3          1.5          2.0          1.7          4.2          22.4
ACTC1                0.7          0.5          0.2          0.0          2.5          10.7
ACTG1                0.6          0.3          0.0          0.0          0.4          7.9
ACTG2                1.8          3.0          5.2          15.1         1.7          45.4
ACTL10               0.3          0.1          0.0          0.0          4.9          5.6
ACTL6A               0.7          0.4          0.2          0.0          28.5         10.6
ACTL6B               1.0          0.7          0.4          0.1          2.0          12.9
ACTL7A               1.5          1.8          2.0          1.6          4.4          21.8
ACTL7B               1.0          0.8          0.5          0.1          1.1          13.9
ACTL8                0.6          0.3          0.1          0.0          1.2          8.8
ACTL9                1.4          1.9          2.7          3.1          4.1          26.7
ACTN1                1.1          0.8          0.6          0.1          0.9          14.2
ACTN2                0.8          0.5          0.2          0.0          0.5          10.8
ACTN3                0.3          0.1          0.0          0.0          4.2          6.0
ACTN4                0.5          0.2          0.0          0.0          2.1          7.6
ACTR10               0.7          0.5          0.2          0.0          1.0          10.5
ACTR1A               0.1          0.0          0.0          0.0          0.6          4.3
ACTR1B               1.2          1.4          1.6          1.2          2.6          21.6
ACTR2                1.0          0.7          0.4          0.1          0.7          13.2
ACTR3                0.5          0.2          0.0          0.0          1.8          7.6
ACTR3B               0.7          0.5          0.2          0.0          5.5          10.6
ACTR3C               1.0          0.9          0.7          0.2          0.4          14.9
ACTR5                0.6          0.3          0.0          0.0          1.8          8.3
ACTR6                1.1          0.9          0.7          0.2          4.1          15.3
ACTR8                1.0          1.0          0.7          0.2          12.4         15.4
ACTRT1               0.6          0.3          0.1          0.0          5.3          9.1
ACTRT2               1.0          0.8          0.5          0.1          0.7          14.3
ACTRT3               1.2          1.4          1.4          1.0          11.1         20.1
ACVR1                1.6          2.4          3.2          4.2          3.2          27.7
ACVR1B               0.1          0.0          0.0          0.0          2.4          3.4
ACVR1C               0.2          0.0          0.0          0.0          3.7          5.1
ACVR2A               0.5          0.2          0.1          0.0          1.7          8.6
