#cell        type      caraway         kiwi
220             2          572          273
221             2          531          327
222             1         3038         3120
223             3           24           35
224             1          825         3424
225             1         1602         1595
226             3           17           40
227             2          255          364
228             1         3169         1138
229             2          176          175
230             2          550          356
231             2          135          176
232             2          294          524
233             2           55          233
234             3           24           64
235             3           12           68
236             4         2493           34
237             4          517           18
238             2           93          646
239             2          319          219
240             2          285          346
241             3           21           36
242             2          230          197
243             1         2025         4037
244             4          362           39
245             2          195          221
246             3           94           16
247             2          613          323
248             3           26            4
249             4         3441           44
250             2          261          286
251             4         1562           78
252             2          365          141
253             1         3759          835
254             2           85          443
255             0           24         1229
256             3           34           59
257             1          806         2353
258             2          236          918
259             3           10           16
260             2          416          516
261             1         1570         1325
262             1         2735         1187
263             0           31         1586
264             2          205          480
265             2          444          229
266             2          254          374
267             2          127          580
268             1          416         2059
269             1         1124         1389
270             0           17          990
271             1         1494         2519
272             3           19           31
273             1         2033         1762
274             2          430          400
275             2          438          261
276             2          138          319
277             3           26           18
278             3           63           55
279             2          197          306
280             3           39            9
281             2          197          307
282             2           47          108
283             0           12         1439
284             0           25         3032
285             4         1462           51
286             1         3892         1101
287             4         2381           12
288             0           32         1523
289             3           52            5
290             1         2090         2430
291             1         1487         2518
292             3            6           50
293             2          728          216
294             1         5316         4029
295             2          381          134
296             2          186          192
297             3           11           54
298             4         3339           19
299             2          335          190
300             1         2605         2603
301             1         1375         3091
302             1         1945         1394
303             1          725          911
304             3           28           31
305             2          169          787
306             1         1916          321
307             0            9         1360
308             3           25           26
309             2          360          248
310             1         1522         1274
311             4         2647           13
312             2          301           31
313             3           39           33
314             4         1982           18
315             2          278          168
316             2          146          553
317             4         1294           22
318             4         1822           31
319             3           38           45
320             3           18           17
321             2          209          294
322             2          212          187
323             2          377          109
324             0           21         2034
325             2          313          409
326             2          172          437
327             3           57           16
328             2          221          274
329             0           17         3430
330             4         3233           32
331             3           20           36
332             0           28         5776
333             2          413          139
334             2          341          446
335             2          247          356
336             4         2064           37
337             1         1060          669
338             2          283          223
339             1          819          982
340             0           42         2338
341             2          438          272
342             2          220          402
343             2          495          210
344             2          104          233
345             2          430          480
346             3           14           25
347             3           31            7
348             2          336          413
349             2          204          532
350             1         1549         5391
351             2          299          236
352             1         1273         1722
353             2          303          587
354             1         1678         3130
355             1          905         1837
356             2          906          569
357             1         3021         1785
358             2          116          296
359             3           42           22
360             1         1528         3887
361             1         2595          485
362             2          242          383
363             2          434          423
364             3           10           16
365             2          344          243
366             0           15         4199
367             4         1133            1
368             2          426          338
369             1         1762          508
370             2          165          218
371             0           23         2405
372             0           25         1550
373             3           57           36
374             2          269          440
375             1          978         1219
376             2           24          345
377             3           14           38
378             1          800          471
379             1         2157         2159
380             2          309          151
381             1         2052         2560
382             1         1489         1268
383             2          152          347
384             1         1421         1219
385             1         2708         1235
386             4         1746           10
387             3           12           55
388             3           10           18
389             3           20           35
390             2           95          241
391             1         2083         3041
392             2          330          334
393             1         1088         1531
394             4         2542           44
395             1         2514          286
396             2          459          301
397             4         1757           13
398             2          404          267
399             2          129          341
400             1         1707         1090
401             2          229          556
402             3           22           55
403             2          444          184
404             4         3410           23
405             2          367          166
406             0           65         1127
407             0           47         1250
408             0           39         2683
409             0           26         1249
410             2          210          494
411             1          628          859
412             2          184          552
413             2          134          145
414             2          229          374
415             3           22           38
416             2          490          640
417             2          343          116
418             3           21           29
419             2          155          302
420             2          528          435
421             1         1432         1260
422             4         1739            9
423             2          551          126
424             2          211          346
425             3           20           32
426             4         2383           26
427             2          194          105
428             3           41           30
429             2          159          273
430             4         1035           22
431             2          246          179
432             1         2023         4201
433             2          330          254
434             1         1841         1757
435             2          160          187
436             1         1043         1701
437             2          680           46
438             0           40         1785
439             2          177           39
440             2          395          217
441             4         2922           21
442             1          871          822
443             4         4245           71
444             1         1469         3591
445             2          418          364
446             2          128           78
447             1         2141         2662
448             2          253          304
449             1         3569         1127
450             3           25           44
451             2          137          109
452             1         1323         2356
453             2          381          461
454             3           32           13
455             2          126          267
456             2           90          590
457             2          203          261
458             1          888         1707
459             4         1566           16
460             4         3225           20
461             3           22           49
462             1          535         3352
463             2          121          201
464             2          181          103
465             0           22         2415
466             2          368          840
467             1         1352          966
468             2          325         1096
469             4         2189           25
470             0           35         2034
471             3           23           50
472             2          372          283
473             3            9           19
474             2           64           54
475             3           24           13
476             3           33           20
477             2          372          106
478             2          349           71
479             3           11           84
480             2          104          196
481             3           64           26
482             1         1601         2159
483             1         1851         2783
484             2          254          293
485             1         2015         1165
486             2          180          221
487             0           20         2794
488             1          344         2516
489             3           48           20
490             3           24           13
491             3           38           14
492             2          162          219
493             3           31           57
494             2          586          304
495             3           26           73
496             0           26         4352
497             3           36           18
498             1         2810         1989
499             2          368          598
500             3           64           13
501             1         1667          450
502             2          419          619
503             1         1740          913
504             1          989         1997
505             2          498          224
506             2          238          263
507             1         2326         1562
508             3           40           21
509             2          496          219
510             3           45           28
511             2          505          281
512             0           13         1789
513             2          100           37
514             2          115          221
515             2           87          295
516             3           21           33
517             1          640         2419
518             1          830         1665
519             2          286          295
520             1         2291         1364
521             3            9           14
522             2           83          233
523             4         2447           29
524             3            7           40
525             2          353          303
526             0           20         1125
527             0           46         3605
528             1         2060         1824
529             4          806           27
530             2          298          220
531             1         2902          597
532             2          116          178
533             0            9         1580
534             2          476          430
535             1         1419         3266
536             4          563           34
537             2          409          411
538             2          258          274
539             2           95          243
540             1         2321         1496
541             1         2620         4481
542             1         2012         3201
543             3           24           22
544             0           21         2133
545             2          164          117
546             2          137          233
547             2          144          212
548             0           43         2749
549             3           12           36
550             4         1038           27
551             1         4298          681
552             1         1214          890
553             3           18           36
554             3           16           23
555             2           65          289
556             3           21           30
557             2          516          155
558             1          985         1226
559             2          386          259
560             2           95          293
561             3           31           51
562             2          336          152
563             2          399          501
564             2          269          245
565             0            5         2078
566             2          380           62
567             2          266          432
568             3           24           37
569             1         2569         2026
570             3            9           14
571             2          183          572
572             3            4           75
573             2          170          345
574             2          158          228
575             1         1419         1169
576             2           39          132
577             1         2256         3368
578             0            5         2346
579             3           25           49
580             0            5         2151
581             1         2314         5541
582             0           12         1708
583             2          161          469
584             1         2553         5336
585             2          295          294
586             1         2074         1382
587             2          395          393
588             3           34           26
589             3           45           29
590             4          567           67
591             2          230          408
592             1         1231         3455
593             1         1272          687
594             1         3205          753
595             1         1294         2067
596             1         1886         1321
597             3           18           20
598             2          163          181
599             2          411          231
600             2          400          346
601             0           43          629
602             2          202          538
603             2          286          316
604             1         3395         3219
605             0           18          988
606             1         3341         1800
607             2          356          245
608             4         2070           36
609             2          375          324
610             2          689          350
611             3           11           34
612             1         2461         3651
613             0           39         1058
614             2          421          642
615             3           31           36
616             3           47           30
617             1         2866         2925
618             0           21         2142
619             4         1323           53
620             2          340          253
621             2          161          278
622             2          228          247
623             2          143          562
624             2          245         1001
625             3           53           34
626             3           13           36
627             2          355          138
628             4         2534           11
629             1         3790         3529
630             4         2894            8
631             1          779         1282
632             1         1947         2434
633             1         1110         2812
634             2           84          150
635             1         1075          863
636             2          754          104
637             2          187          165
638             2          282          315
639             0           34         1663
640             4         5214           48
641             2          162          298
642             2          112          614
643             2           61          727
644             3           24           23
645             1          486         1649
646             0           24         1992
647             3           19           21
648             2          121          551
649             2          456          141
650             1         1688         5834
651             3           22           35
652             2          189          186
653             2           80          131
654             1         1252         1445
655             0           13         1259
656             0           20         1835
657             4         1784           27
658             3           29            8
659             0           39         1080
660             2          134          317
661             2          396           65
662             3           22           21
663             3           33           37
664             2          607          503
665             1         1070         2281
666             2          195          264
667             3           39           16
668             2          102          487
669             3           38           41
670             2          213          343
671             3           27           24
672             1         3375         2095
673             4         2038           61
674             1         2483         4493
675             4         1650            7
676             1          114         2879
677             2          390          278
678             1         1750         1839
679             1         2659          729
680             2          221           86
681             3           52           12
682             1         1260         2868
683             4         4495           39
684             2          516          276
685             1         3352         1215
686             2          238          282
687             3           13           17
688             0           55         1690
689             3           20           33
690             1         1030         1620
691             3           28           52
692             2          326          752
693             0           29         2630
694             2           29          106
695             0           52         1943
696             3           34           30
697             1         2432         1432
698             1         2154         1882
699             3           27           23
700             2          171          179
701             3           14           65
702             2          126          400
703             1         2132         1815
704             1         1154          929
705             2          132          241
706             3           36           42
707             4         1788           25
708             3           13           21
709             1         2485         1368
710             3           28           25
711             4          964           12
712             0           41         4014
713             3           45           19
714             2          563          454
715             2          253          136
716             1         1565         2191
717             3           29           34
718             2          325          236
719             1         1051         2017
720             3           59           21
721             1         2625         2050
722             1         4458         2311
723             1         1697         1633
724             3           44           28
725             3           11           21
726             3           17           25
727             3           31           23
728             4         3198           31
729             0           39         1677
730             3           15           97
731             4         2374           23
732             2          512          213
733             0           88         2876
734             2          404          304
735             1         1986          728
736             0           29         1491
737             2          167          400
738             2          219          544
739             1          899         1327
740             1         1880         1377
741             1         4110         2419
742             3           24           49
743             0           19         1101
744             3           21           71
745             0           71         3137
746             1         4722         1350
747             2          286           90
748             2          279          442
749             0           13         2346
750             4         3191           24
751             2          240          250
752             2          404           59
753             1         4124         1384
754             4         2193           10
755             3           16           22
756             2          383          321
757             1         1287         1363
758             1         2233          881
759             3           57           21
760             2          180          186
761             3           30           29
762             2          306          443
763             3           47           20
764             0           52         1481
765             0           46         1391
766             3           27           54
767             0           36         1696
768             3           38            7
769             2          153          128
770             4         1224           32
771             3           20           36
772             4         2486           32
773             2          346          215
774             3           26            7
775             4         1895           19
776             3           17           16
777             4         2134           19
778             2          339          572
779             2          366          215
780             2          318          636
781             2          161          205
782             0           24          684
783             3           20           31
784             0           15         1189
785             3           62           65
786             3           19           10
787             3           20           27
788             2          519          481
789             2          483          170
790             1         1057         3249
791             0            5         1795
792             2          236          278
793             3           31           35
794             3           47           23
795             4         1636           26
796             2          482          347
797             1         1132         1223
798             3           55           24
799             4          833           26
800             2          142          152
801             2          174          414
802             4         1673           35
803             2          317          809
804             1         2203          290
805             3           30           11
806             2          195          159
807             4         2274           37
808             1         1551         1866
809             3           75           49
810             2          196          363
811             2          130          686
812             1         1094         1595
813             1         3054         3162
814             2          249          349
815             2          285           79
816             3           29           29
817             3           18           35
818             0           31         2337
819             0            9         1064
820             2          309          232
821             2          354          754
822             3           36           55
823             1         1146         1564
824             2          230          486
825             1          709         1258
826             2          208          211
827             2          265          160
828             2          154          278
829             2          126          813
830             1          453          878
831             4         5007           38
832             1         2028         1969
833             2          246          395
834             1         1240         1667
835             3           48           39
836             2          401          544
837             1         2210          964
838             1         2915         1185
839             1          811         2353
840             2          156          273
841             2          500          292
842             4         2306           18
843             2          205          182
844             1         1120          348
845             2           79          327
846             2          268          288
847             3           21           39
848             4         2349           22
849             3           28           18
850             2           46           73
851             2          367          328
852             3           23           20
853             3           41           14
854             2          201          435
855             1         1025          782
856             1          673         3126
857             3           24           39
858             3           12           26
859             2          292          218
860             2           32          478
861             2          255          676
862             3           37           32
863             3           42           40
864             2          182          591
865             0           29         1153
866             4         1879           25
867             3           30           10
868             3           39            7
869             2          381          169
870             2          568          207
871             4         2957           15
872             2          267          203
873             3           30           35
874             4         1496           12
875             2          431          367
876             2          139          658
877             2           41          281
878             0           67         1484
879             4         2458            3
880             2          206          348
881             3           78           22
882             2          352          307
883             3           56           30
884             2          300          450
885             3           48           18
886             3           15           10
887             2          307          129
888             2          216          555
889             2          511          139
890             1         2836          884
891             2          236          178
892             2          198          459
893             4         3131           38
894             0           11         1883
895             3           71           16
896             1         2042         2399
897             1         2534         8397
898             1         1388         3766
899             2          188         1108
900             1         1651         1269
901             2          412          458
902             2          264          133
903             2          209          208
904             2          621          213
905             2          107          384
906             3           40           19
907             4         1090           16
908             2          198          277
909             4          462           26
910             3           48           35
911             2          118          349
912             0           19         1489
913             1          817          776
914             2          281          319
915             3            8            9
916             3           23            3
917             2          303          116
918             1         3111         2908
919             0           19          794
920             1         2096         2827
921             2          589          732
922             2          410          180
923             3           41           15
924             0            6         4404
925             3           17           19
926             3           11           41
927             3           98           35
928             3           16           55
929             0           25         2028
930             3           27           29
931             1         1606         2373
932             2          387          334
933             2          334          299
934             3           43           27
935             2          283          497
936             1         3097         1206
937             2          277          464
938             3           17           45
939             0           25         2612
940             2          354          742
941             2          223          129
942             1          733         1656
943             4         2173           35
944             1         1098         2708
945             3           21           15
946             4         1200           39
947             3           55           21
948             3           31           33
949             3           20           20
950             0           22         1103
951             2          507          161
952             1         1634         3393
953             2          170           84
954             2          403         1148
955             2          511          308
956             2          239          182
957             3           14           22
958             3           41            4
959             2          290          294
960             2          554           84
961             2          156          341
962             4         2500           18
963             2          267          204
964             1         2409         1227
965             1          692          976
966             1         1087         1558
967             3           17           43
968             1         1908         1262
969             2          139          489
970             1         1330         1631
971             2          219          294
972             4         1442           22
973             2          463          551
974             3           27           76
975             3           46           22
976             3           27           26
977             1         1258         1834
978             3           86           39
979             0           49         1259
980             2          315          168
981             2          307          385
982             2          463          308
983             3           96           19
984             2          299           53
985             3           10           12
986             2          216          241
987             1         2702         1317
988             1         1519         1722
989             0           27         1552
990             2          381          125
991             0           51         1474
992             0           38         5821
993             3           65           41
994             2          280          426
995             2          233          303
996             2          438          298
997             3           28           24
998             3           22           13
999             3           19           44
