#gene	sample7	sample8	sample9
APITD1-CORT	5705	5150	4753
APITD1	4221	5641	4359
CORT	5512	3111	2802
DFFA	6134	4073	8381
PEX14	306	529	401
CASZ1	1254	1780	1519
C1orf127	885	1201	749
TARDBP	8216	7760	7094
RP4-635E18.9	888	783	439
MASP2	4157	4821	5473
SRM	3658	12542	3825
EXOSC10	122	241	278
MTOR	51	83	149
ANGPTL7	2229	1053	2505
UBIAD1	1117	3154	2944
DISP3	8510	8019	4524
FBXO2	2624	6474	4873
FBXO44	8432	5287	2406
FBXO6	1545	1168	574
MAD2L2	988	5075	1708
DRAXIN	3818	6542	5854
AGTRAP	331	182	1087
C1orf167	1549	751	850
MTHFR	1163	1227	1596
CLCN6	2610	1551	4941
NPPA	2207	1909	2878
NPPB	1472	1841	572
KIAA2013	1680	4712	3327
PLOD1	1983	6310	4551
MFN2	6866	2465	1222
MIIP	1339	2772	1944
TNFRSF8	9045	5163	3521
TNFRSF1B	9107	3371	5615
VPS13D	1734	1233	1544
DHRS3	64	92	48
AADACL4	733	804	1628
AADACL3	7929	17479	7470
C1orf158	1057	807	915
PRAMEF12	3866	4193	6455
PRAMEF1	603	394	543
PRAMEF11	19298	10114	13046
HNRNPCL1	284	229	330
PRAMEF2	422	575	783
PRAMEF4	438	216	230
PRAMEF10	2922	2091	1884
PRAMEF7	2304	3670	1245
PRAMEF6	934	4145	3467
PRAMEF27	144	240	254
PRAMEF25	6308	4901	4484
HNRNPCL3	4563	2992	1388
HNRNPCL2	13408	9524	5342
PRAMEF26	2162	1863	3437
HNRNPCL4	1924	1930	2027
PRAMEF9	1853	1302	1145
PRAMEF18	2553	2603	3064
PRAMEF5	1673	5197	1716
PRAMEF8	1270	3068	2460
PRAMEF15	4571	6640	5734
PRAMEF14	3627	3630	1710
PRAMEF19	173	164	139
PRAMEF17	408	500	403
PRAMEF20	740	1541	987
LRRC38	241	71	114
PDPN	280	242	604
PRDM2	6482	2036	4128
KAZN	4947	4769	446
TMEM51	1103	934	693
FHAD1	474	265	365
EFHD2	131	216	204
CTRC	3162	1562	1497
CELA2A	725	356	1196
CELA2B	1370	1192	1105
CASP9	18152	8390	21265
DNAJC16	95	95	63
AGMAT	234	126	93
DDI2	52	49	80
RSC1A1	1229	2043	2626
PLEKHM2	531	955	757
SLC25A34	1603	1040	3025
TMEM82	1393	768	1052
FBLIM1	186	255	157
UQCRHL	3175	1465	3423
SPEN	159	195	135
ZBTB17	2886	2069	2398
C1orf64	217	314	468
HSPB7	1576	640	811
CLCNKA	4042	3247	1019
CLCNKB	3602	1498	3166
FAM131C	1607	903	1729
EPHA2	640	220	197
ARHGEF19	1628	2174	959
RSG1	5673	2085	1787
FBXO42	275	777	490
SZRD1	6206	5952	3782
SPATA21	6780	2422	5244
NECAP2	2792	1813	2796
FAM231B	4607	7804	4440
NBPF1	1148	1780	1615
FAM231A	356	563	552
FAM231C	899	773	418
CROCC	952	556	261
MFAP2	28	20	59
ATP13A2	443	155	215
SDHB	2194	3095	3764
PADI2	1382	1411	956
PADI1	541	687	484
PADI3	2469	2753	1733
PADI4	3399	4821	3574
AC004824.1	303	133	243
PADI6	1653	3157	5483
RCC2	1433	1055	1175
ARHGEF10L	2572	1061	1475
ACTL8	4736	8914	9971
IGSF21	6938	4598	4156
KLHDC7A	5021	1279	553
PAX7	1498	1268	1332
TAS1R2	2365	1910	4577
RP13-279N23.2	1094	538	875
ALDH4A1	3492	3425	7752
IFFO2	6529	6934	7430
UBR4	3286	3038	3288
EMC1	2996	3242	1454
MRTO4	2797	1992	2265
AKR7A3	3122	10053	9067
AKR7A2	454	699	960
PQLC2	922	410	585
CAPZB	954	2777	1337
MINOS1	6331	6208	1731
MINOS1-NBL1	2681	2339	1737
NBL1	3266	2804	1860
HTR6	739	836	3016
TMCO4	6791	14838	17626
RNF186	7794	5479	5781
OTUD3	816	718	611
PLA2G2E	4426	4653	3583
PLA2G2A	3050	8856	7475
PLA2G5	1325	1957	2256
PLA2G2D	290	300	304
PLA2G2F	3648	2962	3189
PLA2G2C	756	198	525
UBXN10	112	235	400
VWA5B1	606	538	427
CAMK2N1	91	176	72
MUL1	3919	4118	8040
FAM43B	6765	1976	2223
CDA	3549	6773	4810
PINK1	1571	4217	8286
DDOST	6137	4327	2479
KIF17	2652	1918	2234
SH2D5	1825	2557	4291
HP1BP3	1250	1400	1361
EIF4G3	12143	11146	15364
ECE1	3829	3718	5916
NBPF3	5714	7300	2101
ALPL	79	63	63
RAP1GAP	1001	635	829
USP48	3899	2268	757
LDLRAD2	689	1247	1027
HSPG2	901	1156	1932
CELA3B	371	214	357
CELA3A	8048	9331	9070
CDC42	3854	2723	2307
WNT4	8041	5003	6195
ZBTB40	3928	1959	1200
EPHA8	1523	1462	1594
C1QA	3542	5987	9792
C1QC	215	337	449
C1QB	6169	9421	6239
EPHB2	1700	1662	4466
LACTBL1	1545	2164	720
C1orf234	600	502	1032
KDM1A	2860	7945	6319
LUZP1	122	616	535
HTR1D	2368	2468	2576
HNRNPR	1284	937	1827
ZNF436	12970	9676	11730
TCEA3	1001	331	360
ASAP3	584	224	178
E2F2	3471	3712	3861
ID3	555	1032	2085
MDS2	378	348	305
RPL11	6328	16344	11144
TCEB3	3468	1585	1790
PITHD1	923	656	644
LYPLA2	4723	2030	3646
GALE	2499	3718	6178
HMGCL	5424	3688	5428
FUCA1	1174	1210	2059
CNR2	1428	2064	2018
PNRC2	2800	3750	4392
SRSF10	1333	2197	734
MYOM3	2408	2328	2500
IL22RA1	312	475	720
IFNLR1	11524	7069	5474
GRHL3	149	125	295
STPG1	147	118	87
NIPAL3	623	394	1308
RCAN3	3421	2280	2576
NCMAP	2707	403	1220
SRRM1	429	513	783
CLIC4	425	698	398
RUNX3	2925	4905	5791
SYF2	2169	2237	3199
RSRP1	2579	1509	2737
RHD	8215	2946	4167
TMEM50A	10491	8086	7262
RHCE	1830	2168	1985
TMEM57	5980	11434	12750
LDLRAP1	9096	4641	8019
MAN1C1	1482	1715	3689
SEPN1	2397	1794	2037
RP1-317E23.6	4913	6125	3320
MTFR1L	4957	4704	3835
AUNIP	1625	1024	3234
PAQR7	2893	2769	1499
STMN1	654	767	1172
PAFAH2	4403	5170	1967
EXTL1	4334	3254	5072
SLC30A2	2419	2231	2012
TRIM63	526	288	285
PDIK1L	11825	3324	5050
FAM110D	6098	13303	6415
RP11-96L14.8	928	846	1398
RP11-96L14.7	1439	804	1340
ZNF593	953	518	404
CNKSR1	5	3	11
CATSPER4	2	8	5
CEP85	263	173	195
SH3BGRL3	304	236	279
UBXN11	681	984	881
CD52	345	544	736
AIM1L	1185	800	832
ZNF683	3182	2843	3044
LIN28A	4444	8571	12298
DHDDS	11485	8743	12520
HMGN2	3068	2036	2016
RPS6KA1	5417	2205	7339
ARID1A	10402	8910	10085
PIGV	766	661	490
ZDHHC18	3035	5923	10838
SFN	296	1428	720
GPN2	5303	2107	5766
GPATCH3	746	1459	2046
NUDC	5066	7240	7499
NR0B2	1429	4646	1186
KDF1	2930	2025	3751
TRNP1	1152	1381	777
FAM46B	2613	1990	2136
AL137860.1	104	215	287
SLC9A1	3313	6065	3940
WDTC1	1108	233	506
TMEM222	389	220	263
SYTL1	4161	3136	3761
MAP3K6	5107	3527	11124
FCN3	387	391	193
CD164L2	2932	2804	3750
GPR3	2462	2299	1838
WASF2	1745	6404	6706
AHDC1	642	1214	1191
FGR	497	546	493
IFI6	7404	5000	7746
FAM76A	653	723	240
STX12	7591	3844	8501
PPP1R8	4042	3054	2019
AL109927.1	2420	1044	2316
THEMIS2	2228	3945	5245
RPA2	3651	2655	2182
SMPDL3B	1112	1930	2433
XKR8	2175	1233	4139
EYA3	4972	5575	3179
PTAFR	4292	3638	1488
DNAJC8	1058	1801	2414
ATPIF1	5255	1869	4514
SESN2	168	129	111
MED18	9111	8450	11732
PHACTR4	137	139	145
RCC1	9	11	12
TRNAU1AP	2157	1206	1673
TAF12	4499	10391	2890
RAB42	157	82	310
GMEB1	227	204	160
YTHDF2	7681	2834	5277
OPRD1	9403	22575	28172
EPB41	829	847	1650
TMEM200B	260	299	374
SRSF4	7097	2568	8269
MECR	837	744	464
PTPRU	221	107	139
MATN1	3984	4566	4879
LAPTM5	6241	7727	13919
SDC3	738	854	628
PUM1	1345	1532	753
NKAIN1	4156	1919	2196
SNRNP40	5233	3193	2604
ZCCHC17	6089	8295	6745
FABP3	16712	10046	6763
SERINC2	877	981	759
TINAGL1	682	2210	2129
HCRTR1	208	559	255
PEF1	6489	2820	3525
COL16A1	8726	5508	8042
ADGRB2	4071	7877	8190
SPOCD1	2127	2354	1157
PTP4A2	310	586	551
KHDRBS1	1507	5355	3192
TMEM39B	2261	824	3872
KPNA6	648	584	705
TXLNA	1197	495	1123
CCDC28B	20	22	16
IQCC	9522	12733	3075
DCDC2B	3326	2890	1962
TMEM234	11166	11666	12858
EIF3I	793	986	655
FAM167B	2061	2216	1139
LCK	4855	8954	3837
HDAC1	1357	2386	1894
MARCKSL1	1086	2756	2984
TSSK3	3328	2008	2016
FAM229A	1056	848	1398
BSDC1	3516	1667	3376
RP1-27O5.3	4006	5850	4229
ZBTB8B	20	11	14
ZBTB8A	4167	4718	5318
ZBTB8OS	1149	3228	1966
RBBP4	655	718	463
SYNC	934	1098	1829
KIAA1522	8408	8010	7123
YARS	1245	1035	1373
S100PBP	6405	10442	6183
FNDC5	3054	3402	3006
HPCA	1666	978	1082
TMEM54	463	988	794
RNF19B	1657	3087	6467
AK2	9948	4151	5823
AZIN2	151	101	172
TRIM62	5461	6105	5163
ZNF362	3817	1406	2939
A3GALT2	1016	2305	1673
PHC2	484	483	332
ZSCAN20	1669	768	1244
CSMD2	5744	3594	4928
HMGB4	940	8947	2684
C1orf94	430	696	816
SMIM12	449	1227	301
GJB5	4527	4184	4681
GJB4	837	174	1087
GJB3	2886	2289	1590
GJA4	680	622	1425
DLGAP3	1049	873	1416
RP11-244H3.4	1879	3233	1043
TMEM35B	2707	1440	1900
ZMYM6	2315	1660	1726
ZMYM1	1923	2991	468
SFPQ	6398	5243	1980
ZMYM4	1924	818	2498
KIAA0319L	1982	1498	2202
NCDN	7024	3013	3524
TFAP2E	105	437	296
PSMB2	10798	22550	11652
C1orf216	2054	1498	3274
CLSPN	2132	2476	2089
AGO4	9160	3855	3504
AGO1	3413	8058	5294
AGO3	2520	2117	5548
TEKT2	1041	2088	1408
ADPRHL2	1931	2717	5197
COL8A2	4089	5642	9144
TRAPPC3	539	587	307
MAP7D1	5111	5283	3734
THRAP3	581	1243	738
SH3D21	1000	1486	1644
EVA1B	14037	22125	6711
STK40	3449	5819	3657
LSM10	330	318	708
OSCP1	1621	817	1177
MRPS15	1812	645	1557
CSF3R	932	989	780
GRIK3	2970	3199	2146
ZC3H12A	1169	3030	1961
MEAF6	1105	1431	1197
SNIP1	3163	2910	3867
DNALI1	28	22	31
GNL2	1203	1341	1268
RSPO1	471	533	613
C1orf109	14863	20062	8021
CDCA8	3175	2218	5085
EPHA10	1164	958	2842
MANEAL	2461	4472	6270
YRDC	965	726	690
C1orf122	690	1091	590
MTF1	1638	1481	1385
INPP5B	1112	1003	757
SF3A3	8843	8766	10391
FHL3	431	298	1159
UTP11	7399	4208	8414
POU3F1	2482	1275	627
RRAGC	4770	5090	6903
MYCBP	683	165	601
RP5-864K19.6	1717	719	1354
GJA9	2005	681	1759
RHBDL2	1571	8316	3046
AKIRIN1	365	756	347
NDUFS5	3980	3211	2232
MACF1	6219	5120	3327
BMP8A	933	455	873
PABPC4	1470	3501	2989
HEYL	4701	5452	8625
NT5C1A	2263	820	2039
HPCAL4	2758	7349	8841
PPIE	645	443	644
BMP8B	1591	2154	1866
OXCT2	3884	2404	3259
TRIT1	1228	2517	1397
MYCL	2618	1194	1326
MFSD2A	6308	5351	2248
CAP1	8073	3303	6668
PPT1	1507	1085	3832
RLF	2793	4827	4295
TMCO2	2533	943	2060
ZMPSTE24	1013	754	311
COL9A2	7719	10826	5098
SMAP2	2035	3130	2295
ZFP69B	5385	11598	6886
ZFP69	2807	3294	4369
EXO5	409	819	719
ZNF684	3006	993	1368
RIMS3	935	1083	1550
NFYC	207	287	173
KCNQ4	1215	1193	2098
CITED4	2453	3484	974
CTPS1	3967	2671	4569
SLFNL1	363	55	178
SCMH1	141	373	281
FOXO6	9	12	12
EDN2	1369	2659	3243
HIVEP3	3792	1525	1914
GUCA2B	3612	2249	2892
GUCA2A	131	182	72
FOXJ3	483	254	198
RIMKLA	10499	13005	13396
ZMYND12	8940	2213	10745
PPCS	1369	1692	2606
CCDC30	1369	3297	1108
PPIH	97	61	237
YBX1	4976	11095	11884
CLDN19	2187	1688	1018
P3H1	1501	1239	2401
C1orf50	2811	1633	1782
RP5-994D16.12	375	239	224
RP5-994D16.11	2172	2651	3345
SVBP	1211	1543	283
ERMAP	1011	1068	1693
ZNF691	621	781	1447
SLC2A1	24367	11219	14310
FAM183A	5526	1459	2366
EBNA1BP2	1987	765	2726
CFAP57	567	410	524
TMEM125	2495	205	2859
C1orf210	1805	2145	1716
TIE1	12940	7186	8966
MPL	595	2595	1214
CDC20	1215	1292	1513
ELOVL1	6051	4839	4140
MED8	572	428	352
SZT2	378	301	421
HYI	577	1843	969
PTPRF	2883	6786	3350
KDM4A	512	650	774
ST3GAL3	110	149	105
ARTN	9219	15710	8462
IPO13	1256	2947	1093
DPH2	1665	4233	3011
ATP6V0B	468	1721	1111
B4GALT2	1614	4469	2923
CCDC24	12926	11371	8425
SLC6A9	896	1072	1767
KLF17	3935	6550	4759
KLF18	1573	852	1443
DMAP1	2992	4369	2890
ERI3	3836	5642	2085
RNF220	2469	2387	1429
TMEM53	378	637	793
C1orf228	1584	1868	388
KIF2C	1141	1141	3955
RPS8	753	549	1355
BEST4	10170	6521	15697
PLK3	799	435	647
TCTEX1D4	11484	6678	7003
BTBD19	1074	1820	934
PTCH2	826	1181	693
EIF2B3	561	207	247
HECTD3	2690	4477	5576
UROD	2479	6643	2555
ZSWIM5	5286	862	4245
HPDL	2264	5086	3220
MUTYH	1447	2098	1518
TOE1	2504	3832	3564
TESK2	5196	4566	5603
CCDC163P	2691	2076	1267
MMACHC	813	1331	850
PRDX1	6682	8463	6811
AKR1A1	1645	3060	2089
NASP	7070	4185	4376
CCDC17	3204	6088	6706
GPBP1L1	8557	13131	10730
TMEM69	1269	1137	959
IPP	1	2	6
MAST2	809	1409	1153
PIK3R3	176	176	238
TSPAN1	1823	977	2531
RP11-322N21.2	1101	1440	2633
POMGNT1	2631	2086	4985
LURAP1	4502	5608	2978
RAD54L	1293	1802	2029
LRRC41	41	75	68
UQCRH	186	152	329
NSUN4	1184	572	710
FAAH	5383	6832	19745
DMBX1	8969	14227	5112
RP11-49P4.7	1779	860	1601
KNCN	6990	6915	4157
MKNK1	903	396	1126
MOB3C	338	995	1497
ATPAF1	1831	1141	1217
TEX38	1151	482	1925
EFCAB14	903	1064	1603
CYP4B1	40	167	224
CYP4A11	2878	2170	1582
CYP4X1	1030	1025	345
CYP4Z1	3256	1198	1147
CYP4A22	765	389	455
PDZK1IP1	1354	1626	1893
TAL1	1366	1452	1421
STIL	702	729	336
CMPK1	2874	4916	2242
FOXE3	563	1191	1405
FOXD2	1977	1756	1164
TRABD2B	4974	6537	7061
AL356289.1	4949	4892	11812
SLC5A9	750	478	731
SPATA6	3031	1720	1135
AGBL4	385	139	47
BEND5	2293	3385	2537
ELAVL4	1427	835	795
DMRTA2	2550	2758	2206
FAF1	2617	2054	1737
CDKN2C	4135	2524	3743
C1orf185	1420	1914	1247
RNF11	4612	13924	14227
TTC39A	5743	2562	9249
EPS15	4687	3402	5427
OSBPL9	2514	3837	2881
NRDC	594	509	513
RAB3B	1583	1983	3716
TXNDC12	6991	4406	4627
KTI12	2115	4053	4204
BTF3L4	22	22	24
ZFYVE9	11433	4610	2662
CC2D1B	1696	988	685
ORC1	15363	12305	22064
PRPF38A	154	108	225
ZCCHC11	2124	1098	2074
GPX7	2594	3139	6955
FAM159A	578	1917	1050
COA7	722	896	367
ZYG11B	646	526	826
ZYG11A	9	17	38
ECHDC2	3802	5919	3141
SCP2	4026	3519	5625
AL445183.1	3240	1696	1448
PODN	983	653	1293
SLC1A7	1574	2707	1659
CPT2	12606	51715	27093
C1orf123	1939	1403	1015
MAGOH	56	132	126
LRP8	10736	4859	5692
DMRTB1	914	954	839
GLIS1	4751	4159	3863
NDC1	234	195	290
YIPF1	1651	839	1668
DIO1	7345	4508	10516
HSPB11	897	659	885
LRRC42	5552	4826	10539
LDLRAD1	1250	2555	2921
TMEM59	822	1347	834
TCEANC2	4335	3392	3197
RP11-446E24.4	1187	2246	2499
CDCP2	7723	6909	3467
CYB5RL	7752	2796	5060
MRPL37	58	129	86
SSBP3	2676	2522	5418
ACOT11	2107	3861	4897
FAM151A	6900	9437	9087
MROH7	566	2687	2418
MROH7-TTC4	2084	2431	1804
TTC4	884	1306	929
PARS2	2478	934	1445
TTC22	3611	2926	2127
LEXM	7271	5387	8005
DHCR24	3209	2907	2260
TMEM61	1419	3347	3628
BSND	1065	1608	656
PCSK9	2477	2843	1459
USP24	764	2700	946
PLPP3	5557	8411	5867
PRKAA2	810	586	684
C1orf168	1195	815	185
C8A	487	242	231
C8B	1479	2570	944
DAB1	7859	1176	9581
OMA1	3201	3726	5036
TACSTD2	316	312	163
MYSM1	702	786	1184
JUN	1648	3058	1849
FGGY	135	167	97
HOOK1	7057	8442	4407
CYP2J2	931	578	554
C1orf87	5598	3420	4124
NFIA	2946	2493	2633
TM2D1	3544	4246	1936
PATJ	4222	8018	9111
L1TD1	4699	6287	5645
KANK4	5876	6561	4440
USP1	40	26	48
DOCK7	3731	1708	8682
ANGPTL3	1842	744	1201
ATG4C	1929	4726	3194
FOXD3	2158	3148	5001
ALG6	8393	8111	2920
ITGB3BP	5277	1947	4198
EFCAB7	279	562	682
PGM1	6112	6169	13804
ROR1	17407	6724	7718
UBE2U	476	298	217
CACHD1	18800	11613	17122
RAVER2	2956	3947	2479
JAK1	216	221	290
AK4	14137	8546	16325
DNAJC6	2893	5605	4696
LEPROT	1252	2033	780
LEPR	8041	10102	9322
PDE4B	2585	4681	3907
SGIP1	815	364	504
TCTEX1D1	846	763	355
INSL5	1269	1482	900
WDR78	852	1069	1319
MIER1	1902	6372	4426
SLC35D1	1343	731	730
C1orf141	1301	861	2360
IL23R	1389	1779	869
IL12RB2	765	524	1124
SERBP1	9739	9345	13349
GADD45A	1372	2445	1670
GNG12	14669	8529	7295
DIRAS3	21053	11251	9080
WLS	4718	2015	4551
RPE65	4303	2237	2517
DEPDC1	1104	2966	1660
LRRC7	1507	2504	1250
LRRC40	156	147	94
SRSF11	6790	6047	3967
ANKRD13C	2834	15594	9480
HHLA3	15946	12272	12527
AL158839.1	3873	11159	9495
CTH	1400	3228	2257
PTGER3	2318	1469	2034
ZRANB2	261	548	563
NEGR1	1128	1105	1120
LRRIQ3	5727	3691	4097
FPGT	4114	2330	2248
FPGT-TNNI3K	1035	1284	2572
TNNI3K	2091	1822	1516
LRRC53	1203	1340	1245
ERICH3	3344	6030	2799
CRYZ	465	522	299
TYW3	2394	3168	1456
LHX8	6126	12952	11494
SLC44A5	7008	8940	8813
ACADM	2385	4213	3962
RABGGTB	1624	2707	1629
MSH4	344	310	631
ASB17	310	277	339
ST6GALNAC3	3352	2670	5697
ST6GALNAC5	3624	7729	4887
PIGK	6213	6362	5419
AK5	14663	4070	10922
ZZZ3	22727	10449	14253
USP33	5258	5511	2613
FAM73A	3442	7054	6982
NEXN	22315	4374	7239
FUBP1	9809	17754	8206
DNAJB4	2222	2200	899
GIPC2	895	1098	1019
PTGFR	1222	1078	256
IFI44L	1390	1115	1036
IFI44	299	475	560
ADGRL4	3844	4418	3547
ADGRL2	1708	2939	3112
TTLL7	7744	19862	4997
PRKACB	2487	3422	2990
SAMD13	516	220	490
DNASE2B	20	16	21
RPF1	4875	7110	5649
GNG5	4762	5832	11290
CTBS	474	403	690
SSX2IP	2389	1804	1954
LPAR3	387	337	552
MCOLN2	4205	2712	4696
WDR63	6247	6044	9410
MCOLN3	995	1007	980
SYDE2	1294	704	887
C1orf52	4030	2626	4333
BCL10	1069	1747	1130
DDAH1	240	400	409
CYR61	3059	2084	5711
ZNHIT6	635	424	595
COL24A1	20632	9227	4648
ODF2L	1029	2331	1424
CLCA2	403	380	271
CLCA1	3839	3493	2143
CLCA4	1258	1096	1394
SH3GLB1	9761	14790	25133
SEP15	2399	2333	1359
HS2ST1	956	3072	1829
RP5-1052I5.2	4771	4490	4372
LMO4	6332	9564	6489
PKN2	987	766	1703
GTF2B	328	286	260
KYAT3	4735	4721	2976
RBMXL1	6211	3885	4826
GBP3	686	261	550
GBP1	5685	3056	9329
GBP2	1279	1766	1909
GBP7	3765	4419	5917
GBP4	1286	1141	1491
GBP5	1494	1255	1402
GBP6	1758	1600	1864
LRRC8B	2160	1142	4128
LRRC8C	875	1507	1270
RP11-302M6.4	4089	2068	2438
LRRC8D	967	1774	1163
ZNF326	467	154	621
BARHL2	1824	1367	1724
ZNF644	4630	3008	2927
HFM1	2905	2175	1872
CDC7	7	6	15
TGFBR3	1138	2539	2868
BRDT	2131	3067	3795
EPHX4	625	604	1214
SETSIP	687	941	500
BTBD8	3048	3243	2330
KIAA1107	9470	17497	6160
C1orf146	3450	6342	1268
GLMN	1288	1790	1937
RPAP2	956	763	655
GFI1	7372	5170	3450
EVI5	1883	2404	3604
RPL5	2283	2684	10311
FAM69A	266	484	301
MTF2	3801	2171	3640
TMED5	6158	6554	7653
CCDC18	93	119	146
DR1	3180	3212	3021
FNBP1L	1665	3225	2825
BCAR3	77	103	69
