#gene	sample1	sample2	sample3
KIF1B	1475	1014	1758
PGD	1287	617	713
APITD1-CORT	3306	4639	5749
APITD1	2133	4393	2991
CORT	2364	2166	2014
DFFA	9463	8924	7277
PEX14	343	503	312
CASZ1	1883	457	1091
C1orf127	271	1013	618
TARDBP	3304	8279	9152
RP4-635E18.9	474	403	595
MASP2	3570	3110	2137
SRM	5362	7832	7493
EXOSC10	110	111	117
MTOR	26	28	64
ANGPTL7	2417	2785	1381
UBIAD1	2650	2826	2382
DISP3	3763	6442	6933
FBXO2	6568	4398	2178
FBXO44	1580	3598	2822
FBXO6	1311	1245	1286
MAD2L2	536	986	2326
DRAXIN	4144	8014	6176
AGTRAP	351	286	483
C1orf167	1231	706	439
MTHFR	1732	1523	2065
CLCN6	1831	7489	2646
NPPA	1908	4951	1619
NPPB	2129	956	718
KIAA2013	3291	4441	1064
PLOD1	8217	3266	3340
MFN2	2559	1690	2729
MIIP	1396	1673	1904
TNFRSF8	6916	6215	8644
TNFRSF1B	1970	1864	2589
VPS13D	1827	1642	1037
DHRS3	39	91	39
AADACL4	1271	1137	646
AADACL3	7559	9921	11404
C1orf158	818	459	541
PRAMEF12	3372	3290	3605
PRAMEF1	277	155	300
PRAMEF11	9944	12133	12574
HNRNPCL1	321	137	225
PRAMEF2	509	260	566
PRAMEF4	318	189	235
PRAMEF10	3107	2588	2135
PRAMEF7	1852	1958	5207
PRAMEF6	1773	2789	2714
PRAMEF27	225	167	325
PRAMEF25	5852	6411	5506
HNRNPCL3	2050	1507	1600
HNRNPCL2	4292	5615	4425
PRAMEF26	2466	3482	2199
HNRNPCL4	2685	2316	2520
PRAMEF9	1303	1664	1134
PRAMEF18	2399	1177	2047
PRAMEF5	2614	2693	2418
PRAMEF8	1339	742	1018
PRAMEF15	6185	1879	9558
PRAMEF14	5106	3636	2123
PRAMEF19	163	103	168
PRAMEF17	662	530	311
PRAMEF20	693	232	678
LRRC38	188	264	105
PDPN	141	214	337
PRDM2	3088	1597	2095
KAZN	2076	2606	3605
TMEM51	477	963	521
FHAD1	296	495	274
EFHD2	132	170	157
CTRC	1592	933	1898
CELA2A	395	854	469
CELA2B	909	1119	818
CASP9	8344	11303	7990
DNAJC16	86	61	89
AGMAT	156	158	100
DDI2	114	81	48
RSC1A1	2493	2365	3266
PLEKHM2	641	300	337
SLC25A34	525	710	885
TMEM82	271	434	1205
FBLIM1	147	101	98
UQCRHL	1044	1642	1745
SPEN	95	45	131
ZBTB17	1490	1770	721
C1orf64	540	271	593
HSPB7	686	772	1081
CLCNKA	593	3746	2097
CLCNKB	1964	1308	1819
FAM131C	1401	2115	922
EPHA2	458	570	224
ARHGEF19	1408	1870	1521
RSG1	4445	1485	1823
FBXO42	739	145	1088
SZRD1	8053	5244	6507
SPATA21	1413	4858	1402
NECAP2	1683	2448	2905
FAM231B	5335	5765	4113
NBPF1	1431	804	1245
FAM231A	647	544	495
FAM231C	302	731	615
CROCC	504	715	669
MFAP2	62	58	15
ATP13A2	307	254	258
SDHB	3707	3141	2822
PADI2	1136	565	557
PADI1	262	417	100
PADI3	2442	1588	2075
PADI4	1255	3624	3271
AC004824.1	186	388	213
PADI6	3043	2556	2753
RCC2	717	1383	1113
ARHGEF10L	1368	861	594
ACTL8	5779	2855	2202
IGSF21	3708	4429	1609
KLHDC7A	1281	1773	1104
PAX7	1053	779	1394
TAS1R2	1798	1647	1513
RP13-279N23.2	474	656	737
ALDH4A1	3789	6888	3211
IFFO2	3473	6970	2038
UBR4	1743	4396	3358
EMC1	1880	1554	805
MRTO4	1608	2124	1618
AKR7A3	3222	5376	5236
AKR7A2	546	1014	277
PQLC2	570	199	598
CAPZB	1748	1816	1906
MINOS1	4667	3445	5923
MINOS1-NBL1	809	2344	967
NBL1	2908	3225	3491
HTR6	2024	1668	732
TMCO4	10358	3493	7440
RNF186	1592	2685	2089
OTUD3	534	554	262
PLA2G2E	2245	2407	6963
PLA2G2A	5063	2904	4235
PLA2G5	1749	2715	1446
PLA2G2D	363	613	228
PLA2G2F	1727	1851	2851
PLA2G2C	408	329	201
UBXN10	177	143	200
VWA5B1	879	731	285
CAMK2N1	81	139	141
MUL1	1117	6969	1956
FAM43B	4766	3555	3882
CDA	2180	5465	4252
PINK1	6758	2245	1336
DDOST	5473	2708	6033
KIF17	1457	2446	2206
SH2D5	1236	1821	2564
HP1BP3	2576	1893	3289
EIF4G3	6661	7317	7816
ECE1	6623	4343	2955
NBPF3	6244	4330	5488
ALPL	59	80	24
RAP1GAP	265	647	427
USP48	2524	2313	1361
LDLRAD2	963	917	1278
HSPG2	520	749	544
CELA3B	174	224	107
CELA3A	11379	10387	9304
CDC42	2330	1832	1070
WNT4	3545	3361	1509
ZBTB40	1327	1216	1056
EPHA8	1017	1465	879
C1QA	12966	7371	6981
C1QC	168	286	459
C1QB	3357	5956	8007
EPHB2	2283	2409	2780
LACTBL1	1023	1100	1248
C1orf234	554	337	784
KDM1A	6087	4990	3640
LUZP1	643	405	692
HTR1D	1736	373	1542
HNRNPR	977	1088	656
ZNF436	5113	6683	8928
TCEA3	212	280	293
ASAP3	374	287	335
E2F2	7427	4781	1675
ID3	636	748	440
MDS2	432	393	665
RPL11	3669	6443	3530
TCEB3	1624	1703	635
PITHD1	1207	982	882
LYPLA2	2016	4299	4489
GALE	1436	1734	2629
HMGCL	1786	2418	2981
FUCA1	964	881	1677
CNR2	2192	2554	1721
PNRC2	6907	2399	2761
SRSF10	1158	603	1185
MYOM3	2195	533	1626
IL22RA1	267	247	215
IFNLR1	6144	3805	3083
GRHL3	148	143	207
STPG1	113	180	146
NIPAL3	794	702	836
RCAN3	1891	1629	1747
NCMAP	390	1129	861
SRRM1	581	314	215
CLIC4	430	616	466
RUNX3	451	1409	4420
SYF2	2784	1863	4813
RSRP1	2088	1581	1690
RHD	3327	2103	2693
TMEM50A	1792	4383	3181
RHCE	1485	2164	1315
TMEM57	2181	7002	7208
LDLRAP1	5849	5469	4314
MAN1C1	1826	1547	1684
SEPN1	2167	828	2741
RP1-317E23.6	5947	8782	3784
MTFR1L	3009	4914	3374
AUNIP	1383	2081	1364
PAQR7	750	1644	1854
STMN1	974	482	437
PAFAH2	1405	2066	1599
EXTL1	3653	2959	8105
SLC30A2	3007	1624	1478
TRIM63	347	272	252
PDIK1L	2274	3597	6230
FAM110D	8101	13257	12255
RP11-96L14.8	566	716	811
RP11-96L14.7	112	987	1283
ZNF593	590	254	458
CNKSR1	3	8	4
CATSPER4	3	1	10
CEP85	333	303	341
SH3BGRL3	289	340	395
UBXN11	1676	1177	998
CD52	797	385	298
AIM1L	702	1205	715
ZNF683	2912	2519	2718
LIN28A	6572	9321	4619
DHDDS	4929	8517	8033
HMGN2	7864	4094	2157
RPS6KA1	4340	3236	2184
ARID1A	11771	3569	4783
PIGV	791	909	588
ZDHHC18	4817	9276	8299
SFN	398	290	638
GPN2	4032	6036	1107
GPATCH3	874	884	1159
NUDC	8078	1946	7310
NR0B2	3783	3275	3064
KDF1	2158	1876	995
TRNP1	448	522	1117
FAM46B	975	1474	1170
AL137860.1	409	312	301
SLC9A1	2011	3362	9033
WDTC1	414	420	380
TMEM222	262	189	210
SYTL1	4310	4143	2542
MAP3K6	12647	2900	3183
FCN3	128	331	120
CD164L2	2776	1668	1099
GPR3	3374	1136	2002
WASF2	9749	6337	5103
AHDC1	705	738	461
FGR	368	466	799
IFI6	3934	4607	838
FAM76A	403	518	416
STX12	4488	7087	10649
PPP1R8	4787	3275	2973
AL109927.1	965	1186	1301
THEMIS2	5562	3578	2924
RPA2	4063	4836	2110
SMPDL3B	1560	1256	1106
XKR8	5236	4529	3919
EYA3	2571	5343	6351
PTAFR	684	981	3648
DNAJC8	2455	2579	2476
ATPIF1	2895	1702	3110
SESN2	87	168	172
MED18	13290	5698	4696
PHACTR4	63	33	144
RCC1	3	12	3
TRNAU1AP	1971	877	2649
TAF12	2803	4839	1962
RAB42	183	104	241
GMEB1	176	163	340
YTHDF2	3638	6803	6212
OPRD1	24979	16331	5379
EPB41	1382	1026	744
TMEM200B	142	199	136
SRSF4	3045	7103	5363
MECR	980	477	705
PTPRU	165	82	130
MATN1	1696	4244	7730
LAPTM5	5462	8064	4709
SDC3	366	722	394
PUM1	1715	1491	606
NKAIN1	3301	2546	2255
SNRNP40	1513	2537	4429
ZCCHC17	4277	3879	4518
FABP3	7722	6566	7651
SERINC2	625	1037	672
TINAGL1	865	1050	1873
HCRTR1	227	186	175
PEF1	3961	1355	2265
COL16A1	7257	4474	3063
ADGRB2	3478	3465	4694
SPOCD1	975	1274	1399
PTP4A2	323	766	619
KHDRBS1	2376	2480	3025
TMEM39B	1866	1601	1639
KPNA6	675	369	368
TXLNA	1296	804	1179
CCDC28B	22	9	17
IQCC	3589	1355	3540
DCDC2B	2915	4577	1739
TMEM234	9655	9010	13094
EIF3I	1105	509	861
FAM167B	2729	2958	2229
LCK	2841	3481	7440
HDAC1	1241	1902	809
MARCKSL1	1375	1895	2668
TSSK3	1663	495	1448
FAM229A	375	690	406
BSDC1	1373	2718	1805
RP1-27O5.3	1174	2633	2248
ZBTB8B	8	37	18
ZBTB8A	3352	2789	2828
ZBTB8OS	1410	1129	1648
RBBP4	214	357	164
SYNC	276	1069	805
KIAA1522	11811	6999	9414
YARS	389	996	560
S100PBP	11052	6960	5467
FNDC5	2662	4566	3563
HPCA	653	783	1177
TMEM54	861	747	689
RNF19B	2052	2077	3171
AK2	2246	4162	3831
AZIN2	149	119	132
TRIM62	7915	3997	4771
ZNF362	2384	1708	3729
A3GALT2	630	1432	1762
PHC2	244	120	317
ZSCAN20	568	628	1017
CSMD2	3423	7522	3242
HMGB4	3131	4437	2343
C1orf94	481	489	241
SMIM12	299	302	562
GJB5	3134	1172	3858
GJB4	949	240	893
GJB3	1477	1450	1256
GJA4	701	509	378
DLGAP3	893	846	1352
RP11-244H3.4	1292	573	3356
TMEM35B	1948	1744	2678
ZMYM6	914	1805	994
ZMYM1	2390	709	2408
SFPQ	4878	5053	2891
ZMYM4	791	765	756
KIAA0319L	1366	1558	1690
NCDN	2583	1658	3255
TFAP2E	205	373	631
PSMB2	11825	24938	26581
C1orf216	1257	1052	1860
CLSPN	2179	659	1748
AGO4	6278	4311	4709
AGO1	3690	4391	4334
AGO3	1723	596	1112
TEKT2	2353	1440	2675
ADPRHL2	2662	1260	4769
COL8A2	6118	6491	5350
TRAPPC3	663	334	264
MAP7D1	3107	7058	3871
THRAP3	360	686	745
SH3D21	2170	1063	700
EVA1B	10266	8659	12399
STK40	5762	1911	1100
LSM10	341	508	195
OSCP1	892	1207	491
MRPS15	431	354	605
CSF3R	447	936	620
GRIK3	2188	1605	1852
ZC3H12A	2994	1089	3072
MEAF6	954	958	891
SNIP1	1368	1605	1432
DNALI1	6	19	31
GNL2	880	493	926
RSPO1	393	510	413
C1orf109	6570	7706	4363
CDCA8	4625	4033	4085
EPHA10	1397	1557	1463
MANEAL	5059	2041	4723
YRDC	959	1334	2079
C1orf122	1029	1253	676
MTF1	980	578	1234
INPP5B	1405	1117	1150
SF3A3	3099	2533	8686
FHL3	437	504	648
UTP11	5432	7726	4783
POU3F1	1074	2940	557
RRAGC	4132	1689	5773
MYCBP	221	250	465
RP5-864K19.6	455	904	1125
GJA9	1139	979	621
RHBDL2	2033	2197	2477
AKIRIN1	417	461	423
NDUFS5	2719	1539	2357
MACF1	2640	3216	3664
BMP8A	958	989	825
PABPC4	1601	2653	2619
HEYL	4300	2960	2839
NT5C1A	926	861	1304
HPCAL4	3705	4144	5164
PPIE	235	318	428
BMP8B	2096	1518	1706
OXCT2	2380	1830	1476
TRIT1	899	1694	877
MYCL	1510	1368	645
MFSD2A	5167	2806	1829
CAP1	3488	1021	5503
PPT1	2144	1039	2086
RLF	6719	3620	1239
TMCO2	2205	1744	3940
ZMPSTE24	192	872	416
COL9A2	8053	5793	5058
SMAP2	3775	3952	3417
ZFP69B	4890	4095	5147
ZFP69	3352	5537	1943
EXO5	467	505	544
ZNF684	696	1467	2656
RIMS3	533	336	1323
NFYC	358	273	199
KCNQ4	2005	1670	1616
CITED4	3094	1859	3546
CTPS1	3340	4004	5675
SLFNL1	192	78	34
SCMH1	201	221	157
FOXO6	6	3	6
EDN2	2360	1685	2490
HIVEP3	2406	2346	887
GUCA2B	4074	3299	3200
GUCA2A	118	132	262
FOXJ3	230	382	311
RIMKLA	5319	14136	8951
ZMYND12	5198	10577	5492
PPCS	2647	2144	1887
CCDC30	2621	2126	3568
PPIH	58	134	220
YBX1	8771	7234	4737
CLDN19	1421	1555	1262
P3H1	2237	1247	1076
C1orf50	2384	2052	1330
RP5-994D16.12	448	530	358
RP5-994D16.11	1727	1676	4109
SVBP	896	1137	620
ERMAP	661	1174	854
ZNF691	1175	1539	772
SLC2A1	11604	17164	17452
FAM183A	1475	1505	2710
EBNA1BP2	3474	789	872
CFAP57	528	329	464
TMEM125	2136	1054	3586
C1orf210	943	1046	622
TIE1	8355	6883	6872
MPL	1572	565	485
CDC20	1013	1260	873
ELOVL1	3900	3849	3452
MED8	576	140	368
SZT2	249	220	168
HYI	306	472	816
PTPRF	2956	2822	3288
KDM4A	511	1213	271
ST3GAL3	104	138	100
ARTN	13614	9819	17136
IPO13	2669	2100	1105
DPH2	584	3144	2955
ATP6V0B	628	1016	828
B4GALT2	1414	3100	1579
CCDC24	14715	15567	14506
SLC6A9	1284	2358	759
KLF17	2677	3152	4930
KLF18	1076	1131	1201
DMAP1	4726	3076	2549
ERI3	2356	1701	2710
RNF220	942	1422	1404
TMEM53	378	237	169
C1orf228	674	620	1091
KIF2C	2361	1537	2058
RPS8	405	995	237
BEST4	5164	5355	10132
PLK3	230	592	791
TCTEX1D4	5444	8134	2795
BTBD19	444	515	709
PTCH2	1095	647	429
EIF2B3	228	402	472
HECTD3	12168	6768	6289
UROD	4721	4891	4072
ZSWIM5	2231	4425	3772
HPDL	2698	2527	1963
MUTYH	661	1253	981
TOE1	3010	2076	3055
TESK2	1011	1200	3770
CCDC163P	2186	1404	1256
MMACHC	1367	1850	1924
PRDX1	7860	5160	5970
AKR1A1	2167	653	5104
NASP	3455	6734	4458
CCDC17	2575	2495	4318
GPBP1L1	7042	4157	7094
TMEM69	1792	1212	1634
IPP	1	2	3
MAST2	1077	970	2970
PIK3R3	204	135	299
TSPAN1	1616	1208	1685
RP11-322N21.2	1098	2675	2207
POMGNT1	3120	1954	1917
LURAP1	9506	2954	2684
RAD54L	1234	1552	1740
LRRC41	25	77	42
UQCRH	95	268	126
NSUN4	659	1171	1226
FAAH	8302	12703	6370
DMBX1	7583	5770	3015
RP11-49P4.7	1431	1214	1163
KNCN	13275	9981	5941
MKNK1	603	831	885
MOB3C	698	803	883
ATPAF1	674	1362	243
TEX38	744	911	402
EFCAB14	968	746	791
CYP4B1	112	80	81
CYP4A11	1738	1064	1084
CYP4X1	1481	510	1267
CYP4Z1	1684	707	2006
CYP4A22	159	529	304
PDZK1IP1	1080	1025	1421
TAL1	1013	1067	1184
STIL	391	780	442
CMPK1	5413	1987	2502
FOXE3	1742	1439	1199
FOXD2	1824	1564	1402
TRABD2B	7175	5188	2593
AL356289.1	7230	2822	4350
SLC5A9	510	308	310
SPATA6	2333	1489	2175
AGBL4	84	66	184
BEND5	1642	1388	1827
ELAVL4	868	1409	1547
DMRTA2	2397	3529	1607
FAF1	1680	1483	1317
CDKN2C	6223	2394	2519
C1orf185	1173	949	1104
RNF11	7215	10358	6449
TTC39A	6463	3566	5554
EPS15	3191	5174	10215
OSBPL9	3882	1832	3190
NRDC	348	373	208
RAB3B	2893	2023	2088
TXNDC12	2856	3854	3411
KTI12	2957	4334	4417
BTF3L4	18	17	16
ZFYVE9	17745	6526	5392
CC2D1B	868	908	1275
ORC1	9567	3707	11167
PRPF38A	142	106	71
ZCCHC11	1809	773	926
GPX7	2739	5039	1459
FAM159A	479	784	801
COA7	458	666	338
ZYG11B	386	320	210
ZYG11A	17	19	24
ECHDC2	4296	3365	2985
SCP2	3207	1293	3250
AL445183.1	2449	1760	1442
PODN	658	747	979
SLC1A7	1768	1458	1828
CPT2	22925	15673	15621
C1orf123	828	992	342
MAGOH	37	47	42
LRP8	4696	9995	4764
DMRTB1	1238	1679	347
GLIS1	3030	2209	2581
NDC1	200	525	139
YIPF1	812	1109	1183
DIO1	5881	3599	4524
HSPB11	476	445	918
LRRC42	5183	7652	3133
LDLRAD1	1833	2302	2026
TMEM59	953	688	703
TCEANC2	8141	4216	2964
RP11-446E24.4	601	544	1269
CDCP2	3963	3022	3677
CYB5RL	1934	2482	1740
MRPL37	78	83	45
SSBP3	2891	1472	2363
ACOT11	3475	2072	3389
FAM151A	6235	9078	4406
MROH7	1494	1720	910
MROH7-TTC4	709	1475	1173
TTC4	490	794	213
PARS2	438	1784	1710
TTC22	4676	2557	2286
LEXM	8948	8402	14455
DHCR24	1605	1658	3907
TMEM61	2971	1224	3444
BSND	1330	1466	1422
PCSK9	1756	953	1944
USP24	1771	1557	2671
PLPP3	4804	3380	3101
PRKAA2	167	391	266
C1orf168	1299	814	631
C8A	190	168	108
C8B	1409	1111	1215
DAB1	6467	6561	3424
OMA1	2029	7815	2900
TACSTD2	47	141	305
MYSM1	496	363	735
JUN	1190	1171	1575
FGGY	125	121	132
HOOK1	3832	4247	3744
CYP2J2	345	388	532
C1orf87	5137	3800	4906
NFIA	4175	2665	2985
TM2D1	2972	1747	2322
PATJ	6979	2535	2413
L1TD1	8927	3224	5828
KANK4	4083	2628	2045
USP1	31	25	45
DOCK7	5076	4077	916
ANGPTL3	498	615	682
ATG4C	2068	3324	2256
FOXD3	2886	3088	1878
ALG6	1842	4248	6289
ITGB3BP	2695	4170	3841
EFCAB7	499	360	1196
PGM1	13210	3036	9787
ROR1	10506	5583	2337
UBE2U	696	333	121
CACHD1	10263	10101	11706
RAVER2	9184	4952	2658
JAK1	454	248	295
AK4	17196	9249	14811
DNAJC6	9710	5677	5067
LEPROT	1234	1896	456
LEPR	11602	3981	4658
PDE4B	4337	5394	2359
SGIP1	376	247	621
TCTEX1D1	362	344	652
INSL5	418	893	1070
WDR78	1255	1170	740
MIER1	1564	5081	1898
SLC35D1	1917	896	890
C1orf141	1011	817	675
IL23R	546	1955	1164
IL12RB2	713	215	221
SERBP1	7788	5242	6358
GADD45A	1663	1052	1704
GNG12	4284	8609	4468
DIRAS3	4819	17272	9616
WLS	1934	2490	3315
RPE65	3579	2837	5309
DEPDC1	1639	1409	1095
LRRC7	1662	2984	931
LRRC40	87	174	93
SRSF11	7576	5647	2548
ANKRD13C	7943	9120	3091
HHLA3	19783	7931	10564
AL158839.1	5138	3875	1753
CTH	1019	939	2618
PTGER3	1267	763	2027
ZRANB2	779	676	390
NEGR1	795	940	1065
LRRIQ3	6847	3379	4067
FPGT	3354	4065	1892
FPGT-TNNI3K	2471	866	1438
TNNI3K	281	1691	1389
LRRC53	477	1133	545
ERICH3	6454	4839	3469
CRYZ	127	213	255
TYW3	2224	1174	815
LHX8	11095	5155	4427
SLC44A5	3408	2754	4818
ACADM	2551	2539	3830
RABGGTB	779	1718	1106
MSH4	340	702	278
ASB17	242	96	443
ST6GALNAC3	3174	2409	1655
ST6GALNAC5	2763	4392	1403
PIGK	3384	1108	1687
AK5	9121	11675	5609
ZZZ3	19496	14392	9822
USP33	4224	6824	7622
FAM73A	1611	2446	1235
NEXN	3780	4111	8925
FUBP1	4222	8259	11909
DNAJB4	1596	1181	1923
GIPC2	785	1000	462
PTGFR	831	945	875
IFI44L	544	657	1545
IFI44	198	261	271
ADGRL4	1900	2094	3333
ADGRL2	2423	2246	2732
TTLL7	5842	6296	6597
PRKACB	3284	2182	2175
SAMD13	159	161	584
DNASE2B	53	41	32
RPF1	4116	4368	4859
GNG5	3919	3233	3475
CTBS	497	282	577
SSX2IP	1635	1751	2257
LPAR3	324	157	391
MCOLN2	2465	3495	2209
WDR63	2643	3325	4034
MCOLN3	546	869	597
SYDE2	937	660	776
C1orf52	4162	2129	4544
BCL10	1379	858	1430
DDAH1	177	174	140
CYR61	1516	1289	3093
ZNHIT6	263	506	346
COL24A1	13839	22673	11327
ODF2L	882	1002	980
CLCA2	388	149	226
CLCA1	3370	3061	2241
CLCA4	1028	961	1222
SH3GLB1	14419	6027	17698
SEP15	4840	2280	2434
HS2ST1	930	2337	2541
RP5-1052I5.2	4569	3083	1606
LMO4	3901	3660	3627
PKN2	904	756	589
GTF2B	397	146	121
KYAT3	6873	4054	8374
RBMXL1	6966	2147	2434
GBP3	274	331	378
GBP1	4238	5631	4669
GBP2	536	1132	559
GBP7	6049	5472	11989
GBP4	987	612	872
GBP5	1420	1139	589
GBP6	732	1516	613
LRRC8B	1261	2353	788
LRRC8C	553	956	1782
RP11-302M6.4	1659	2701	2106
LRRC8D	339	1246	1212
ZNF326	347	267	176
BARHL2	1328	575	827
ZNF644	2302	3502	2578
HFM1	1968	3765	831
CDC7	5	8	19
TGFBR3	1428	3545	978
BRDT	2413	2826	6314
EPHX4	285	720	1114
SETSIP	1182	401	1012
BTBD8	2052	2747	2750
KIAA1107	4424	3414	5661
C1orf146	1486	1266	2311
GLMN	1256	1194	473
RPAP2	1244	948	802
GFI1	2581	2337	4613
EVI5	826	4093	2294
RPL5	5449	8335	2116
FAM69A	226	172	140
MTF2	1295	2119	3025
TMED5	7300	5663	10006
CCDC18	95	206	75
DR1	1982	5035	2973
FNBP1L	1372	3479	2789
BCAR3	97	53	67
DNTTIP2	3427	1446	3383
GCLM	857	1043	1046
ABCA4	2576	1101	1277
ARHGAP29	1072	1433	706
ABCD3	2866	1330	2204
F3	1538	1751	1319
SLC44A3	2217	2092	1420
CNN3	3139	3458	1525
ALG14	1325	827	1878
