#gene	sample4	sample5	sample6
PRAMEF8	1360	2594	1611
PRAMEF15	8989	6826	9659
PRAMEF14	2384	2501	2043
PRAMEF19	189	165	89
PRAMEF17	503	540	883
PRAMEF20	1205	740	691
LRRC38	232	297	141
PDPN	311	455	263
PRDM2	8206	4526	5920
KAZN	4439	2885	2214
TMEM51	744	680	992
FHAD1	154	286	562
EFHD2	367	356	368
CTRC	2130	2284	2758
CELA2A	774	1210	709
CELA2B	1597	1261	2257
CASP9	14237	16420	16982
DNAJC16	23	42	153
AGMAT	209	206	276
DDI2	72	97	84
RSC1A1	2012	2556	1968
PLEKHM2	557	419	427
SLC25A34	1774	1462	1282
TMEM82	1696	1103	1761
FBLIM1	387	144	77
UQCRHL	1796	2571	2660
SPEN	169	160	244
ZBTB17	1404	1120	2057
C1orf64	516	338	628
HSPB7	1201	863	630
CLCNKA	1321	1715	2356
CLCNKB	2337	2536	3365
FAM131C	925	1500	1884
EPHA2	892	1069	586
ARHGEF19	2701	1593	2073
RSG1	2085	1630	1848
FBXO42	884	791	625
SZRD1	5276	1357	4227
SPATA21	3906	1521	5909
NECAP2	1582	2362	1992
FAM231B	4471	4461	2751
NBPF1	905	684	1565
FAM231A	468	286	472
FAM231C	564	303	857
CROCC	969	643	795
MFAP2	41	83	64
ATP13A2	414	387	188
SDHB	4974	3062	1984
PADI2	913	1000	662
PADI1	525	825	556
PADI3	1990	2560	3400
PADI4	4296	1983	2353
AC004824.1	125	137	382
PADI6	2653	4936	1282
RCC2	720	2233	1239
ARHGEF10L	1165	1168	743
ACTL8	9291	6904	10708
IGSF21	3521	3058	3036
KLHDC7A	3306	4277	2978
PAX7	1053	1623	962
TAS1R2	1520	1878	2324
RP13-279N23.2	480	570	717
ALDH4A1	9748	5376	3440
IFFO2	2735	4201	4738
UBR4	3526	5333	6782
EMC1	2311	1997	1235
MRTO4	829	2446	2860
AKR7A3	4421	4882	6254
AKR7A2	929	1030	443
PQLC2	1515	1101	1201
CAPZB	807	1950	1514
MINOS1	1795	3991	3458
MINOS1-NBL1	2577	3141	1742
NBL1	3198	7084	4647
HTR6	1441	2621	1156
TMCO4	9585	7562	14678
RNF186	6165	6827	2578
OTUD3	663	1280	1119
PLA2G2E	6171	5368	2726
PLA2G2A	7629	6483	6801
PLA2G5	1363	2660	786
PLA2G2D	488	272	265
PLA2G2F	2804	2817	1995
PLA2G2C	288	602	328
UBXN10	228	127	248
VWA5B1	538	812	1986
CAMK2N1	221	101	137
MUL1	8191	6144	4452
FAM43B	5236	3350	3934
CDA	3216	3265	5257
PINK1	6625	6143	3699
DDOST	6707	3833	3200
KIF17	1831	2849	3624
SH2D5	2283	3051	3206
HP1BP3	2495	2554	2931
EIF4G3	12729	13726	10695
ECE1	2562	2751	3761
NBPF3	2453	3273	1836
ALPL	78	74	59
RAP1GAP	492	824	575
USP48	3407	2655	1819
LDLRAD2	1324	796	1175
HSPG2	1697	2259	1657
CELA3B	398	384	179
CELA3A	7112	9786	15973
CDC42	891	1028	1073
WNT4	5170	10394	7291
ZBTB40	2350	3832	1728
EPHA8	1426	1399	1455
C1QA	9566	8707	2417
C1QC	489	488	252
C1QB	4948	3612	9101
EPHB2	823	2972	5321
LACTBL1	1357	1916	1098
C1orf234	529	717	1178
KDM1A	8104	12483	6339
LUZP1	210	430	634
HTR1D	1193	1668	657
HNRNPR	1183	1020	1125
ZNF436	4428	4732	9285
TCEA3	233	421	446
ASAP3	389	751	531
E2F2	10465	7217	7530
ID3	626	1471	2027
MDS2	448	543	692
RPL11	3365	11490	6873
TCEB3	1442	2330	1553
PITHD1	1977	1450	1027
LYPLA2	3920	2148	2217
GALE	2425	1384	3339
HMGCL	4015	3877	3726
FUCA1	2074	1290	1345
CNR2	4278	5171	2547
PNRC2	2820	5037	3416
SRSF10	1734	2077	2035
MYOM3	2842	2354	1010
IL22RA1	562	450	618
IFNLR1	6404	5408	10299
GRHL3	177	151	99
STPG1	136	79	138
NIPAL3	1610	717	1928
RCAN3	4379	983	1383
NCMAP	2159	1303	1065
SRRM1	785	637	1145
CLIC4	981	1200	672
RUNX3	1171	2053	1118
SYF2	4689	5541	3110
RSRP1	1252	2124	1584
RHD	2333	3942	2987
TMEM50A	5976	8445	9393
RHCE	2519	3853	2312
TMEM57	9885	4551	7466
LDLRAP1	12391	8026	8806
MAN1C1	3746	1664	2434
SEPN1	1461	2349	2263
RP1-317E23.6	5969	3548	5013
MTFR1L	5498	2543	4189
AUNIP	860	1333	2203
PAQR7	698	3681	3146
STMN1	971	956	1105
PAFAH2	2413	3861	1935
EXTL1	5910	6527	9060
SLC30A2	1652	1832	1834
TRIM63	495	243	154
PDIK1L	5357	4865	7952
FAM110D	14394	8733	5826
RP11-96L14.8	402	829	128
RP11-96L14.7	454	1290	510
ZNF593	820	525	528
CNKSR1	5	19	20
CATSPER4	8	2	7
CEP85	123	182	511
SH3BGRL3	169	234	142
UBXN11	644	652	911
CD52	618	330	454
AIM1L	1501	483	672
ZNF683	3469	3996	6915
LIN28A	3705	8160	7852
DHDDS	9517	24907	13172
HMGN2	5287	2025	4037
RPS6KA1	3569	4905	3018
ARID1A	8426	7397	6203
PIGV	833	1120	1462
ZDHHC18	9653	9181	14897
SFN	372	414	404
GPN2	2312	5553	5792
GPATCH3	500	1722	1885
NUDC	10061	5534	5741
NR0B2	2679	1778	3898
KDF1	1279	3903	4334
TRNP1	544	2928	802
FAM46B	1891	2467	743
AL137860.1	442	575	258
SLC9A1	5243	4028	3657
WDTC1	666	433	1111
TMEM222	395	284	285
SYTL1	3182	1191	2566
MAP3K6	3846	4791	6537
FCN3	61	147	352
CD164L2	4673	2713	2678
GPR3	927	2451	1392
WASF2	4897	10059	12329
AHDC1	1484	1504	775
FGR	678	342	257
IFI6	3081	5286	6503
FAM76A	759	549	906
STX12	6583	11243	6069
PPP1R8	5766	3122	4415
AL109927.1	1922	1074	901
THEMIS2	6481	4115	4457
RPA2	2880	5499	5194
SMPDL3B	1102	2860	867
XKR8	5865	6019	3204
EYA3	2781	5159	4668
PTAFR	587	2413	2741
DNAJC8	2261	1176	2231
ATPIF1	1759	4041	5071
SESN2	294	231	196
MED18	9632	6231	5797
PHACTR4	157	102	123
RCC1	3	7	13
TRNAU1AP	2262	1406	1594
TAF12	5107	6116	4350
RAB42	195	165	90
GMEB1	276	188	397
YTHDF2	3650	2078	5487
OPRD1	10405	8547	7420
EPB41	2895	1136	1491
TMEM200B	169	206	245
SRSF4	9853	2177	7009
MECR	638	626	992
PTPRU	194	129	103
MATN1	6354	3638	2735
LAPTM5	3826	6550	6214
SDC3	1166	614	633
PUM1	1732	1479	2982
NKAIN1	4668	3961	1724
SNRNP40	3211	3414	3639
ZCCHC17	8583	4446	5675
FABP3	17081	9624	12722
SERINC2	820	1193	1851
TINAGL1	1244	1170	431
HCRTR1	305	322	256
PEF1	2975	3343	3511
COL16A1	4747	7035	10769
ADGRB2	5227	5868	5549
SPOCD1	1538	2131	680
PTP4A2	667	775	1541
KHDRBS1	1884	5252	3799
TMEM39B	1829	3859	1157
KPNA6	233	559	219
TXLNA	2042	658	1742
CCDC28B	21	16	14
IQCC	9450	5151	6177
DCDC2B	2700	1882	4640
TMEM234	4758	14432	9372
EIF3I	889	974	1471
FAM167B	3076	1418	2392
LCK	6966	3270	11380
HDAC1	2443	1088	1425
MARCKSL1	1769	1193	1621
TSSK3	1780	1775	2150
FAM229A	1048	308	1377
BSDC1	3526	3646	4423
RP1-27O5.3	2749	825	2933
ZBTB8B	46	45	48
ZBTB8A	7243	2638	5128
ZBTB8OS	1676	1082	2017
RBBP4	658	704	349
SYNC	1342	1674	3456
KIAA1522	8138	6925	20245
YARS	1001	1287	1045
S100PBP	10185	5314	8867
FNDC5	2549	3502	4153
HPCA	995	922	1857
TMEM54	1063	1367	611
RNF19B	4356	3256	1758
AK2	3884	5029	6281
AZIN2	197	91	162
TRIM62	6354	2794	11644
ZNF362	3219	2809	3655
A3GALT2	359	2123	2152
PHC2	442	577	510
ZSCAN20	750	1518	1003
CSMD2	5011	2739	3634
HMGB4	6389	4402	3836
C1orf94	647	143	412
SMIM12	691	638	699
GJB5	9855	4562	5380
GJB4	1070	693	469
GJB3	1507	2284	1685
GJA4	473	469	493
DLGAP3	1491	1784	1593
RP11-244H3.4	1940	2580	3646
TMEM35B	2153	3364	1646
ZMYM6	1463	2169	1809
ZMYM1	2555	4561	4952
SFPQ	2651	2852	4978
ZMYM4	1977	1226	893
KIAA0319L	2253	2267	3268
NCDN	4319	4004	2313
TFAP2E	405	416	636
PSMB2	18968	29526	10533
C1orf216	2101	1605	2791
CLSPN	2758	4222	2300
AGO4	3901	6042	4550
AGO1	3011	8162	4438
AGO3	2757	1857	3122
TEKT2	1267	2016	1341
ADPRHL2	3290	6281	1422
COL8A2	9634	10646	7024
TRAPPC3	387	674	480
MAP7D1	6227	8492	4840
THRAP3	723	1597	523
SH3D21	1319	1210	801
EVA1B	14193	19402	14443
STK40	5307	1517	2182
LSM10	628	262	521
OSCP1	667	1116	1140
MRPS15	1109	1617	2126
CSF3R	1661	837	714
GRIK3	1385	3442	2458
ZC3H12A	2430	2431	3262
MEAF6	2091	1030	1564
SNIP1	1377	1561	2401
DNALI1	16	14	13
GNL2	1014	981	1441
RSPO1	398	433	1138
C1orf109	23063	19659	9624
CDCA8	3278	1668	1768
EPHA10	1888	1108	1709
MANEAL	3894	3454	5036
YRDC	2164	2446	1715
C1orf122	1635	876	327
MTF1	1268	2170	812
INPP5B	1308	1475	1461
SF3A3	7469	3482	13019
FHL3	842	729	322
UTP11	4546	5813	3997
POU3F1	1003	1116	864
RRAGC	5210	3059	4913
MYCBP	762	316	825
RP5-864K19.6	945	1215	418
GJA9	1506	794	967
RHBDL2	4090	2205	1682
AKIRIN1	562	443	309
NDUFS5	2989	979	5198
MACF1	5031	4634	1291
BMP8A	639	849	725
PABPC4	2001	2268	2231
HEYL	9425	6049	7220
NT5C1A	898	1018	706
HPCAL4	5294	3602	8353
PPIE	953	291	544
BMP8B	2931	1380	2645
OXCT2	2317	1910	1202
TRIT1	966	420	1229
MYCL	1428	2458	1232
MFSD2A	2586	3361	6855
CAP1	4575	9343	5807
PPT1	3743	2144	999
RLF	2234	3124	5725
TMCO2	2867	3513	2953
ZMPSTE24	707	847	827
COL9A2	13419	4312	9360
SMAP2	1256	3169	4782
ZFP69B	4866	7522	4563
ZFP69	1233	3389	4707
EXO5	533	819	848
ZNF684	2717	3521	3869
RIMS3	1407	691	855
NFYC	333	422	529
KCNQ4	1629	2168	1959
CITED4	2331	4979	2418
CTPS1	3281	6452	4002
SLFNL1	219	125	89
SCMH1	222	171	513
FOXO6	17	4	18
EDN2	2449	3559	2301
HIVEP3	1754	2252	1722
GUCA2B	4433	14405	4750
GUCA2A	113	101	178
FOXJ3	474	225	257
RIMKLA	10839	9572	9328
ZMYND12	5312	7030	10457
PPCS	1751	3090	1670
CCDC30	2176	1624	1672
PPIH	144	200	158
YBX1	7656	7510	9567
CLDN19	1541	1393	1104
P3H1	871	1314	1248
C1orf50	2529	2635	4331
RP5-994D16.12	159	596	207
RP5-994D16.11	2280	1591	2428
SVBP	1656	2065	1144
ERMAP	1232	1003	935
ZNF691	1317	1085	1959
SLC2A1	32873	31500	13911
FAM183A	3682	4085	3349
EBNA1BP2	1892	2115	1199
CFAP57	412	241	391
TMEM125	1753	3407	3060
C1orf210	2703	1772	1562
TIE1	13153	8878	9117
MPL	768	1407	1660
CDC20	2437	835	1124
ELOVL1	6352	3384	7329
MED8	318	683	736
SZT2	355	379	505
HYI	822	2255	842
PTPRF	3194	4527	6341
KDM4A	338	779	1097
ST3GAL3	367	162	236
ARTN	3969	9431	4922
IPO13	2223	1015	4385
DPH2	4549	3156	2885
ATP6V0B	1344	564	420
B4GALT2	2703	4719	3200
CCDC24	15929	9203	10039
SLC6A9	2179	1213	1247
KLF17	6535	6283	2748
KLF18	2106	593	1301
DMAP1	3719	3103	3228
ERI3	4001	3781	2676
RNF220	1880	1430	1215
TMEM53	601	450	818
C1orf228	1127	1693	985
KIF2C	2790	2264	2485
RPS8	868	1021	1165
BEST4	19211	6596	19086
PLK3	932	1073	528
TCTEX1D4	6047	7308	5590
BTBD19	1166	1122	1983
PTCH2	900	1884	1751
EIF2B3	352	365	250
HECTD3	6874	10134	6166
UROD	3795	5682	4097
ZSWIM5	2416	3196	4690
HPDL	2434	5417	7127
MUTYH	850	1537	1335
TOE1	2141	2203	1935
TESK2	3056	4704	3451
CCDC163P	1854	965	2612
MMACHC	1420	1210	1162
PRDX1	5472	7831	6267
AKR1A1	3144	2505	3161
NASP	4675	7674	4984
CCDC17	2115	3140	5081
GPBP1L1	4033	7829	13471
TMEM69	1074	1694	1270
IPP	2	1	2
MAST2	1701	1476	1430
PIK3R3	207	290	58
TSPAN1	678	707	1145
RP11-322N21.2	1894	804	1081
POMGNT1	2364	4462	3501
LURAP1	6313	6990	10766
RAD54L	3219	3351	2057
LRRC41	40	93	60
UQCRH	355	163	242
NSUN4	972	1783	799
FAAH	4623	11631	14851
DMBX1	9354	9819	8397
RP11-49P4.7	888	1026	1602
KNCN	11980	11943	5752
MKNK1	959	450	460
MOB3C	1117	641	745
ATPAF1	387	524	901
TEX38	1149	474	736
EFCAB14	915	1320	1826
CYP4B1	96	105	137
CYP4A11	2122	1582	3504
CYP4X1	1171	844	811
CYP4Z1	2692	1469	1294
CYP4A22	713	442	547
PDZK1IP1	1292	1121	943
TAL1	1452	681	2496
STIL	908	530	555
CMPK1	2114	1927	2002
FOXE3	1745	1920	3311
FOXD2	2096	1592	2101
TRABD2B	9636	10653	9529
AL356289.1	9014	5286	6935
SLC5A9	205	750	619
SPATA6	1297	2932	2816
AGBL4	198	147	118
BEND5	957	1131	1441
ELAVL4	1101	902	1368
DMRTA2	5180	4131	3824
FAF1	1684	2176	1605
CDKN2C	1822	2423	4577
C1orf185	1083	851	1818
RNF11	15095	7764	8136
TTC39A	5284	8582	8576
EPS15	12579	2970	14308
OSBPL9	11084	5410	3313
NRDC	693	595	558
RAB3B	4621	2733	1992
TXNDC12	6624	4364	2592
KTI12	2588	3046	3002
BTF3L4	26	55	24
ZFYVE9	8609	9602	4273
CC2D1B	1040	1126	1395
ORC1	12960	8128	9302
PRPF38A	274	296	81
ZCCHC11	1493	1661	914
GPX7	7424	2542	5373
FAM159A	1089	1042	329
COA7	650	681	958
ZYG11B	308	1260	848
ZYG11A	16	20	28
ECHDC2	3237	3778	9556
SCP2	2679	2476	1827
AL445183.1	2196	1835	3361
PODN	730	3371	988
SLC1A7	1253	3493	2548
CPT2	10507	19586	17859
C1orf123	2559	2416	2361
MAGOH	94	67	66
LRP8	3292	11238	2567
DMRTB1	1785	728	1351
GLIS1	3552	1997	2926
NDC1	226	128	201
YIPF1	964	1393	684
DIO1	5785	10509	6385
HSPB11	663	421	589
LRRC42	4262	7202	5759
LDLRAD1	2599	1719	2426
TMEM59	1220	1058	1048
TCEANC2	4186	4977	7021
RP11-446E24.4	1031	2188	2359
CDCP2	6693	7760	4621
CYB5RL	2471	4549	2352
MRPL37	58	94	110
SSBP3	4771	4686	4983
ACOT11	1872	4271	1700
FAM151A	9653	20268	19321
MROH7	2471	3052	1028
MROH7-TTC4	1213	1507	1823
TTC4	364	907	476
PARS2	2031	1869	1536
TTC22	7558	8872	6059
LEXM	7790	6913	6340
DHCR24	825	3150	4111
TMEM61	3131	2869	3527
BSND	1000	1379	1394
PCSK9	2792	1830	1201
USP24	1531	1518	3490
PLPP3	10042	5895	1980
PRKAA2	636	452	223
C1orf168	1165	539	890
C8A	220	370	148
C8B	1204	1133	1320
DAB1	5887	3970	3797
OMA1	2484	4530	3638
TACSTD2	127	193	138
MYSM1	612	996	476
JUN	1925	1902	4328
FGGY	196	61	70
HOOK1	9675	7964	7615
CYP2J2	361	441	250
C1orf87	6702	6477	4216
NFIA	3374	4552	4602
TM2D1	1436	2100	1181
PATJ	4286	6043	5202
L1TD1	4289	3887	4778
KANK4	3145	5367	4622
USP1	56	19	31
DOCK7	3640	3490	3226
ANGPTL3	1412	1759	575
ATG4C	7187	9597	4868
FOXD3	2169	2338	3377
ALG6	7437	7768	11658
ITGB3BP	5282	3342	6165
EFCAB7	537	960	1206
PGM1	10313	18405	11111
ROR1	5140	11422	9745
UBE2U	693	523	371
CACHD1	6547	12480	13957
RAVER2	6168	4136	4348
JAK1	617	330	253
AK4	6484	10934	16702
DNAJC6	3298	5504	4107
LEPROT	1006	1996	2326
LEPR	11168	9620	11623
PDE4B	4113	2423	2690
SGIP1	348	262	511
TCTEX1D1	400	1066	945
INSL5	1086	844	1303
WDR78	1007	1008	827
MIER1	4634	4250	6055
SLC35D1	1131	2755	1899
C1orf141	1123	988	760
IL23R	1048	1891	1014
IL12RB2	436	687	292
SERBP1	12224	6295	10818
GADD45A	1639	1509	2047
GNG12	4639	4390	8924
DIRAS3	21558	6965	17371
WLS	3327	3604	2014
RPE65	7296	7062	8756
DEPDC1	2464	2144	2253
LRRC7	3241	2747	2165
LRRC40	104	170	303
SRSF11	7403	7115	2676
ANKRD13C	9673	6210	7161
HHLA3	9013	7460	13640
AL158839.1	9931	5178	13697
CTH	1372	836	2601
PTGER3	3110	1953	2215
ZRANB2	652	718	937
NEGR1	1258	1901	1690
LRRIQ3	10649	5866	6611
FPGT	4934	5896	3627
FPGT-TNNI3K	1849	2030	1292
TNNI3K	1081	2089	1182
LRRC53	1544	1107	1532
ERICH3	8087	4431	5443
CRYZ	261	282	200
TYW3	2103	1242	1863
LHX8	6176	9540	8241
SLC44A5	7201	12255	6653
ACADM	4523	4903	2202
RABGGTB	1923	1467	1760
MSH4	432	631	363
ASB17	638	367	1019
ST6GALNAC3	1119	1237	4927
ST6GALNAC5	3503	2898	5409
PIGK	1885	5340	2343
AK5	14464	13062	9069
ZZZ3	16805	13446	16796
USP33	9151	6685	6721
FAM73A	5850	3513	3557
NEXN	9676	12587	7537
FUBP1	7599	12996	17938
DNAJB4	3587	2160	3796
GIPC2	1502	859	1024
PTGFR	565	697	1455
IFI44L	1040	894	2648
IFI44	342	802	403
ADGRL4	935	2321	3733
ADGRL2	3163	3147	3201
TTLL7	6340	6381	16717
PRKACB	4842	2455	1742
SAMD13	402	523	387
DNASE2B	72	81	19
RPF1	6431	15014	7330
GNG5	4328	6162	3795
CTBS	477	455	505
SSX2IP	492	2320	1942
LPAR3	584	355	315
MCOLN2	4127	4483	2920
WDR63	5463	4482	6399
MCOLN3	1452	1085	560
SYDE2	1630	737	898
C1orf52	5598	3675	2403
BCL10	1321	490	2000
DDAH1	299	254	346
CYR61	3001	2649	3107
ZNHIT6	566	635	646
COL24A1	13885	14254	17655
ODF2L	1419	797	459
CLCA2	558	511	994
CLCA1	3643	2271	2716
CLCA4	1001	1028	1235
SH3GLB1	10618	11689	17099
SEP15	2194	3960	2527
HS2ST1	1469	1582	2731
RP5-1052I5.2	4316	4596	4320
LMO4	6885	4857	4173
PKN2	1268	427	739
GTF2B	100	240	157
KYAT3	6066	5927	5606
RBMXL1	4381	6177	3510
GBP3	583	317	640
GBP1	9146	2150	5455
GBP2	1356	1012	1065
GBP7	5258	3690	11174
GBP4	495	685	1211
GBP5	1522	1310	1000
GBP6	1927	1208	1260
LRRC8B	2577	2452	781
LRRC8C	1296	655	2443
RP11-302M6.4	1986	2567	3087
LRRC8D	1340	1620	672
ZNF326	227	294	300
BARHL2	2475	1193	1602
ZNF644	1912	3462	2655
HFM1	2322	4102	3581
CDC7	16	6	13
TGFBR3	3170	3823	3069
BRDT	5363	7502	4331
EPHX4	858	1238	2200
SETSIP	801	720	905
BTBD8	2099	2067	1619
KIAA1107	12502	4762	7723
C1orf146	4446	1997	1983
GLMN	1115	1959	2504
RPAP2	689	347	1613
GFI1	11225	2941	6077
EVI5	2485	2954	1117
RPL5	8478	4422	2353
FAM69A	299	286	257
MTF2	1772	1191	2189
TMED5	10773	4941	4049
CCDC18	298	81	179
DR1	7235	5357	6645
FNBP1L	2010	1251	1402
